data_profile,generator_seed,sample,N,L,K,off_pct,active_pct,sigma,P,formula,formula_label,formula_T,u_g,fraction_exact_u_g,gap_to_exact_pct,is_exact_best,active_pct_actual,T_over_N,T_over_K
gaussian,42,90,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.221284679952911,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,91,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,4.556582818506544,0.971212604272876,2.878739572712408,False,25.0,0.0,0.0
gaussian,42,92,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.844854253064633,0.9737691421996512,2.623085780034884,False,25.0,0.0,0.0
gaussian,42,93,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.755277021049651,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,94,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.2916755652936427,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,95,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.5956323091201163,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,96,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,4.084745686401093,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,97,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,4.265305033227416,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,98,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.4912486507330023,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,99,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.971709731618727,0.9462735250072573,5.372647499274274,False,25.0,0.0,0.0
gaussian,42,0,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,1.0,3.3951077570322274,0.8730197889614553,12.698021103854472,False,25.0,0.125,0.5
gaussian,42,1,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,0.0,3.8905139665465303,0.9506847565071096,4.93152434928904,False,25.0,0.0,0.0
gaussian,42,2,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,0.0,2.7932521773767034,0.9640007399484424,3.599926005155773,False,25.0,0.0,0.0
gaussian,42,3,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,0.0,3.169706463063626,0.9141132941862484,8.588670581375158,False,25.0,0.0,0.0
gaussian,42,4,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,best tested T,0.0,4.018281986663058,1.0,0.0,True,25.0,0.0,0.0
