N,L,K,active_limit_fraction,required_turned_off_fraction,objective,objective_label,candidate,baseline_winner,winner,baseline_best_mean,candidate_mean,candidate_vs_best_h12_relative_delta
1000,6,750,0.75,0.25,u_i,Interference,Pareto-H2,H2,H2,328.06026086583734,421.02737636864185,-0.28338426378568327
1000,6,750,0.75,0.25,u_g,General objective,Coutino,H1,Coutino,4.067457529491299e+20,7.699650672301981e+20,0.8929885847547981
1000,6,750,0.75,0.25,u_g,General objective,MISO-EE,H1,Coutino,4.067457529491299e+20,4.310426433093165e+20,0.05973483480533187
1000,6,750,0.75,0.25,u_g,General objective,Pareto-H2,H1,Coutino,4.067457529491299e+20,2.2557632343541114e+20,-0.4454119759091299
1000,7,500,0.5,0.5,u_bf,BF gain,Coutino,H1,Coutino,9486.242395270048,10155.040694014127,0.0705019196091331
1000,7,500,0.5,0.5,u_bf,BF gain,MISO-EE,H1,Coutino,9486.242395270048,9509.603118911915,0.002462589787239097
1000,7,500,0.5,0.5,u_bf,BF gain,Pareto-H2,H1,Coutino,9486.242395270048,8050.692404440193,-0.15132967628421948
1000,7,500,0.5,0.5,u_i,Interference,Coutino,H2,Tie,730.2697848137468,467759.17207313515,-639.5292698676227
1000,7,500,0.5,0.5,u_i,Interference,MISO-EE,H2,Tie,730.2697848137468,423670.98593043536,-579.156806074746
1000,7,500,0.5,0.5,u_i,Interference,Pareto-H2,H2,Tie,730.2697848137468,730.2697848137468,0.0
1000,7,500,0.5,0.5,u_g,General objective,Coutino,H1,Coutino,7.204497554355919e+21,1.212059307673299e+22,0.6823647985562497
1000,7,500,0.5,0.5,u_g,General objective,MISO-EE,H1,Coutino,7.204497554355919e+21,7.618996827577671e+21,0.057533404667635894
1000,7,500,0.5,0.5,u_g,General objective,Pareto-H2,H1,Coutino,7.204497554355919e+21,2.670196725975708e+21,-0.629370860933768
1000,7,750,0.75,0.25,u_bf,BF gain,Coutino,H1,Coutino,16441.35029233015,17703.09465256118,0.07674213722090886
1000,7,750,0.75,0.25,u_bf,BF gain,MISO-EE,H1,Coutino,16441.35029233015,16554.037184408564,0.006853870884983376
1000,7,750,0.75,0.25,u_bf,BF gain,Pareto-H2,H1,Coutino,16441.35029233015,13831.71737478507,-0.15872375876344333
1000,7,750,0.75,0.25,u_i,Interference,Coutino,H2,Tie,972.3146292194724,1239804.6432921141,-1274.1064378074511
1000,7,750,0.75,0.25,u_i,Interference,MISO-EE,H2,Tie,972.3146292194724,1091445.9816740751,-1121.5234598704287
1000,7,750,0.75,0.25,u_i,Interference,Pareto-H2,H2,Tie,972.3146292194724,972.3146292194724,0.0
1000,7,750,0.75,0.25,u_g,General objective,Coutino,H1,Coutino,3.5595203291179665e+23,6.015587718074016e+23,0.6899995397876129
1000,7,750,0.75,0.25,u_g,General objective,MISO-EE,H1,Coutino,3.5595203291179665e+23,3.761046544660887e+23,0.05661611591156669
1000,7,750,0.75,0.25,u_g,General objective,Pareto-H2,H1,Coutino,3.5595203291179665e+23,1.1718668461155222e+23,-0.670779560793826
1000,8,500,0.5,0.5,u_bf,BF gain,Coutino,H1,Coutino,9806.442516909627,10205.473810979192,0.04069072891433369
1000,8,500,0.5,0.5,u_bf,BF gain,MISO-EE,H1,Coutino,9806.442516909627,9749.937785955794,-0.005762000935242301
1000,8,500,0.5,0.5,u_bf,BF gain,Pareto-H2,H1,Coutino,9806.442516909627,8597.199388869813,-0.12331109124992774
1000,8,500,0.5,0.5,u_i,Interference,Coutino,H2,Tie,1184.9908151421696,383310.7321832571,-322.4714795129187
1000,8,500,0.5,0.5,u_i,Interference,MISO-EE,H2,Tie,1184.9908151421696,340693.71616451815,-286.50747416016327
1000,8,500,0.5,0.5,u_i,Interference,Pareto-H2,H2,Tie,1184.9908151421696,1184.9908151421696,0.0
1000,8,500,0.5,0.5,u_g,General objective,Coutino,H1,Coutino,4.0742448651220144e+24,6.209536334914362e+24,0.5240950263131523
1000,8,500,0.5,0.5,u_g,General objective,MISO-EE,H1,Coutino,4.0742448651220144e+24,4.3147167965965115e+24,0.059022454328428155
1000,8,500,0.5,0.5,u_g,General objective,Pareto-H2,H1,Coutino,4.0742448651220144e+24,1.7769449675123493e+24,-0.5638590643571606
1000,8,750,0.75,0.25,u_bf,BF gain,Coutino,H1,Coutino,17347.41316743203,18188.130074615605,0.048463531655655326
1000,8,750,0.75,0.25,u_bf,BF gain,MISO-EE,H1,Coutino,17347.41316743203,17398.88779475511,0.002967279722126862
