data_profile,N,L,K,off_pct,active_pct,cases,T_min,T_max,T_mean,outside_dense_rate,u_g_mean,u_g_p05,u_g_p50,u_g_p95,fraction_mean,fraction_p05,fraction_p50,fraction_p95,gap_pct_mean,winner_rate
lognormal,2000,6,1000,50.0,50.0,100,500,500,500.0,0.0,298228862406107.4,1088100869521.7848,79812139096716.94,1359102241927481.0,0.07438143887432662,0.04664817329342027,0.0711711759011711,0.11473072903851328,92.56185611256733,0.0
lognormal,2000,8,500,75.0,25.0,100,750,750,750.0,1.0,91513834152042.95,31666996913.950912,6697597816052.889,495371126057012.94,0.0007329576879256069,0.00032754594506982003,0.00067383591012855,0.001318106968316445,99.92670423120744,0.0
lognormal,2000,8,1000,50.0,50.0,100,500,500,500.0,0.0,6.403420463174627e+17,184484001670207.3,5.199144288635472e+16,3.6471956282795607e+18,0.036429255383839856,0.01857692305805184,0.033196834747176746,0.06299190049564364,96.35707446161601,0.0
lognormal,2000,10,500,75.0,25.0,100,750,750,750.0,1.0,3997435383371534.5,61937233434.84484,67768474893341.97,1.8645376697533044e+16,0.00015170026514900846,5.682958770208207e-05,0.0001481086183771,0.00029244882339462495,99.9848299734851,0.0
lognormal,2000,10,1000,50.0,50.0,100,500,500,500.0,0.0,2.4722203681329798e+20,2472294472770779.0,3.624926899444026e+18,1.0926739329888729e+21,0.01768318404032352,0.00735523737086987,0.0157863814265751,0.0326858337477884,98.23168159596764,0.0
lognormal,5000,2,1250,75.0,25.0,100,1875,1875,1875.0,1.0,4228321.535047581,1136920.2303815486,3752857.7154929857,8850814.579799972,0.1195740859841662,0.1061707721027992,0.11949497889680324,0.13568164038556402,88.04259140158338,0.0
lognormal,5000,2,2500,50.0,50.0,100,1250,1250,1250.0,0.0,37860575.99798235,9808876.495588172,33731573.142222874,81445340.27649415,0.36747305805518543,0.3301493348114207,0.3683674276942934,0.41150257168592147,63.25269419448146,0.0
lognormal,5000,4,1250,75.0,25.0,100,1875,1875,1875.0,1.0,336412912174.1161,10373223859.375525,186672931679.41562,1198384001473.3118,0.021612538948705566,0.01718798343537315,0.02171923607640055,0.027133254746246074,97.83874610512943,0.0
lognormal,5000,4,2500,50.0,50.0,100,1250,1250,1250.0,0.0,27406824143400.68,824171556442.7975,15920589981194.656,97190934183488.33,0.17423057688588664,0.1422564756443776,0.1732006552509092,0.20271251100485402,82.57694231141133,0.0
lognormal,5000,6,1250,75.0,25.0,100,1875,1875,1875.0,1.0,4365636818824510.5,12146079314489.273,1357107199107069.0,2.271656401186609e+16,0.003979107944106184,0.00280802471268714,0.00390480955389075,0.005469072150757064,99.60208920558938,0.0
lognormal,5000,6,2500,50.0,50.0,100,1250,1250,1250.0,0.0,3.3786612423954437e+18,8550348873262826.0,9.875419680921144e+17,1.626897955416406e+19,0.08327916634437381,0.06054798981199676,0.08158177330159255,0.10530829956524623,91.67208336556261,0.0
lognormal,5000,8,1250,75.0,25.0,100,1875,1875,1875.0,1.0,1.161202571062761e+19,1393935357068352.5,9.657337168039608e+17,3.5919906810987217e+19,0.000717022804491792,0.000448589499346565,0.0007030236017322999,0.00100367996993453,99.92829771955081,0.0
lognormal,5000,8,2500,50.0,50.0,100,1250,1250,1250.0,0.0,8.23625071779849e+22,1.058667826049203e+19,7.394141541183514e+21,2.3423372735552743e+23,0.03813706961250778,0.02703422402838139,0.038125793029049795,0.048399360099703435,96.18629303874921,0.0
lognormal,5000,10,1250,75.0,25.0,100,1875,1875,1875.0,1.0,1.8686061408144484e+22,6.973206131402756e+17,7.615610083305602e+20,7.65286072179788e+22,0.0001306983658057007,7.674496635036489e-05,0.00012047015653839999,0.00020596813147042998,99.98693016341942,0.0
lognormal,5000,10,2500,50.0,50.0,100,1250,1250,1250.0,0.0,1.3527514536664246e+27,4.203462295404383e+22,4.686516884693605e+25,6.102695424798822e+27,0.017466204947825303,0.01125736382593641,0.0170921901247402,0.02415996289162956,98.25337950521747,0.0
nakagami,500,2,125,75.0,25.0,100,188,188,188.0,1.0,954140.6820734983,576647.0469281722,952223.8075176462,1330477.197025397,0.4659105699698638,0.41099845619826125,0.4649039159132627,0.5247145294669997,53.40894300301362,0.0
nakagami,500,2,250,50.0,50.0,100,125,125,125.0,0.0,11436450.634258544,7023497.703839663,11321104.494429484,16188829.436357344,0.6836186035467954,0.6030967152937947,0.6842030777407655,0.7563385248713587,31.63813964532046,0.0
nakagami,500,4,125,75.0,25.0,100,188,188,188.0,1.0,14636117164.21104,6879116796.907202,14122218392.041971,23942451256.37756,0.35291346800804185,0.27623934881363227,0.35306186934874445,0.4241740809760065,64.70865319919581,0.0
