data_profile,generator_seed,sample,N,L,K,off_pct,active_pct,sigma,P,formula,formula_family,formula_label,formula_T,rule_note,u_bf,u_i,u_g,u_g_db,exact_completed,exact_u_g,fraction_exact_u_g,gap_to_exact_pct,is_exact_best
gaussian,42,0,28,2,14,50.0,50.0,1.0,1.0,T_0p10NL_over_Lp2,N_L,T_0p10NL_over_Lp2,1,,34.298114852305396,69.61532135978136,289.6624256631952,24.618921631862353,True,290.90053201256245,0.9957438842039871,0.4256115796012927,False
gaussian,42,0,28,2,14,50.0,50.0,1.0,1.0,T_0p125NL_over_Lp2,N_L,T_0p125NL_over_Lp2,2,,30.94155046657477,7.449328626037341,252.4162672588501,24.02117340085173,True,290.90053201256245,0.8677064476731503,13.22935523268497,False
gaussian,42,0,28,2,14,50.0,50.0,1.0,1.0,T_0p15NL_over_Lp2,N_L,T_0p15NL_over_Lp2,2,,30.94155046657477,7.449328626037341,252.4162672588501,24.02117340085173,True,290.90053201256245,0.8677064476731503,13.22935523268497,False
gaussian,42,0,28,2,14,50.0,50.0,1.0,1.0,strong_weak,heuristic,strong/weak H3,7,,23.023837037508297,8.40818797237942,124.68762450331936,20.95823351019595,True,290.90053201256245,0.4286263199337661,57.13736800662339,False
gaussian,42,1,28,2,7,75.0,25.0,1.0,1.0,best_tested_T,best_tested,best tested T per sample,0,,11.718360099643153,10.091764044566991,39.963116618138415,16.01659350356728,True,41.029632835708,0.974006196403459,2.599380359654102,False
gaussian,42,1,28,2,7,75.0,25.0,1.0,1.0,T_0p025N,N,T_0p025N,1,,9.150696434305551,1.6729772591713525,30.103119215470095,14.786114985134727,True,41.029632835708,0.7336921423598852,26.630785764011478,False
gaussian,42,1,28,2,7,75.0,25.0,1.0,1.0,T_0p05N,N,T_0p05N,1,,9.150696434305551,1.6729772591713525,30.103119215470095,14.786114985134727,True,41.029632835708,0.7336921423598852,26.630785764011478,False
gaussian,42,1,28,2,7,75.0,25.0,1.0,1.0,T_0p075N,N,T_0p075N,2,,8.182413398818719,3.4149020244724304,23.22443903945673,13.659452328912685,True,41.029632835708,0.566040625624233,43.395937437576706,False
gaussian,42,1,28,2,7,75.0,25.0,1.0,1.0,T_0p10N,N,T_0p10N,3,,10.030716437625198,18.4450829331822,26.939492473291914,14.303894095708944,True,41.029632835708,0.6565862429518631,34.34137570481369,False
gaussian,42,1,28,2,7,75.0,25.0,1.0,1.0,T_0p10K,K,T_0p10K,1,,9.150696434305551,1.6729772591713525,30.103119215470095,14.786114985134727,True,41.029632835708,0.7336921423598852,26.630785764011478,False
gaussian,42,1,28,2,7,75.0,25.0,1.0,1.0,T_0p20K,K,T_0p20K,1,,9.150696434305551,1.6729772591713525,30.103119215470095,14.786114985134727,True,41.029632835708,0.7336921423598852,26.630785764011478,False
gaussian,42,1,28,2,7,75.0,25.0,1.0,1.0,legacy_T25,legacy,legacy_T25,7,,7.282238827879176,4.671144053449286,17.328466419440705,12.387601290702104,True,41.029632835708,0.42234027510867167,57.765972489132835,False
gaussian,42,1,28,2,7,75.0,25.0,1.0,1.0,legacy_T50,legacy,legacy_T50,7,,7.282238827879176,4.671144053449286,17.328466419440705,12.387601290702104,True,41.029632835708,0.42234027510867167,57.765972489132835,False
gaussian,42,1,28,2,7,75.0,25.0,1.0,1.0,legacy_T100,legacy,legacy_T100,7,,7.282238827879176,4.671144053449286,17.328466419440705,12.387601290702104,True,41.029632835708,0.42234027510867167,57.765972489132835,False
gaussian,42,1,28,2,7,75.0,25.0,1.0,1.0,T_0p05K,K,T_0p05K,0,,11.718360099643153,10.091764044566991,39.963116618138415,16.01659350356728,True,41.029632835708,0.974006196403459,2.599380359654102,False
gaussian,42,1,28,2,7,75.0,25.0,1.0,1.0,T_0p15K,K,T_0p15K,1,,9.150696434305551,1.6729772591713525,30.103119215470095,14.786114985134727,True,41.029632835708,0.7336921423598852,26.630785764011478,False
gaussian,42,1,28,2,7,75.0,25.0,1.0,1.0,T_0p05NL_over_Lp2,N_L,T_0p05NL_over_Lp2,1,,9.150696434305551,1.6729772591713525,30.103119215470095,14.786114985134727,True,41.029632835708,0.7336921423598852,26.630785764011478,False
gaussian,42,1,28,2,7,75.0,25.0,1.0,1.0,T_0p075NL_over_Lp2,N_L,T_0p075NL_over_Lp2,1,,9.150696434305551,1.6729772591713525,30.103119215470095,14.786114985134727,True,41.029632835708,0.7336921423598852,26.630785764011478,False
gaussian,42,1,28,2,7,75.0,25.0,1.0,1.0,T_0p10NL_over_Lp2,N_L,T_0p10NL_over_Lp2,1,,9.150696434305551,1.6729772591713525,30.103119215470095,14.786114985134727,True,41.029632835708,0.7336921423598852,26.630785764011478,False
gaussian,42,1,28,2,7,75.0,25.0,1.0,1.0,T_0p125NL_over_Lp2,N_L,T_0p125NL_over_Lp2,2,,8.182413398818719,3.4149020244724304,23.22443903945673,13.659452328912685,True,41.029632835708,0.566040625624233,43.395937437576706,False
gaussian,42,1,28,2,7,75.0,25.0,1.0,1.0,T_0p15NL_over_Lp2,N_L,T_0p15NL_over_Lp2,2,,8.182413398818719,3.4149020244724304,23.22443903945673,13.659452328912685,True,41.029632835708,0.566040625624233,43.395937437576706,False
gaussian,42,1,28,2,7,75.0,25.0,1.0,1.0,strong_weak,heuristic,strong/weak H3,11,outside_dense_0_to_K,6.794308651625602,0.05437926003631249,11.932720824793584,10.767394800885171,True,41.029632835708,0.29083177206520267,70.91682279347972,False
gaussian,42,1,28,2,14,50.0,50.0,1.0,1.0,best_tested_T,best_tested,best tested T per sample,0,,25.017247014293787,4.850984568553828,179.8709448476882,22.549610159780222,True,179.8709448476882,1.0,0.0,True
gaussian,42,1,28,2,14,50.0,50.0,1.0,1.0,T_0p025N,N,T_0p025N,1,,21.444292007153788,2.831287922566131,131.90513999878368,21.202617191977318,True,179.8709448476882,0.7333321127015751,26.666788729842494,False
gaussian,42,1,28,2,14,50.0,50.0,1.0,1.0,T_0p05N,N,T_0p05N,1,,21.444292007153788,2.831287922566131,131.90513999878368,21.202617191977318,True,179.8709448476882,0.7333321127015751,26.666788729842494,False
gaussian,42,1,28,2,14,50.0,50.0,1.0,1.0,T_0p075N,N,T_0p075N,2,,19.713752636631845,9.57589958637923,112.48412343116973,20.510912282890132,True,179.8709448476882,0.6253601632349208,37.463983676507915,False
gaussian,42,1,28,2,14,50.0,50.0,1.0,1.0,T_0p10N,N,T_0p10N,3,,24.561811497829076,33.00396740806458,150.7316879583139,21.782045625918123,True,179.8709448476882,0.837999089213386,16.200091078661405,False
gaussian,42,1,28,2,14,50.0,50.0,1.0,1.0,T_0p10K,K,T_0p10K,1,,21.444292007153788,2.831287922566131,131.90513999878368,21.202617191977318,True,179.8709448476882,0.7333321127015751,26.666788729842494,False
gaussian,42,1,28,2,14,50.0,50.0,1.0,1.0,T_0p20K,K,T_0p20K,3,,24.561811497829076,33.00396740806458,150.7316879583139,21.782045625918123,True,179.8709448476882,0.837999089213386,16.200091078661405,False
gaussian,42,1,28,2,14,50.0,50.0,1.0,1.0,legacy_T25,legacy,legacy_T25,14,,12.233250153850204,35.36485893541029,32.65157674556563,15.139041582103093,True,179.8709448476882,0.18152779912961736,81.84722008703827,False
gaussian,42,1,28,2,14,50.0,50.0,1.0,1.0,legacy_T50,legacy,legacy_T50,14,,12.233250153850204,35.36485893541029,32.65157674556563,15.139041582103093,True,179.8709448476882,0.18152779912961736,81.84722008703827,False
gaussian,42,1,28,2,14,50.0,50.0,1.0,1.0,legacy_T100,legacy,legacy_T100,14,,12.233250153850204,35.36485893541029,32.65157674556563,15.139041582103093,True,179.8709448476882,0.18152779912961736,81.84722008703827,False
gaussian,42,1,28,2,14,50.0,50.0,1.0,1.0,T_0p05K,K,T_0p05K,1,,21.444292007153788,2.831287922566131,131.90513999878368,21.202617191977318,True,179.8709448476882,0.7333321127015751,26.666788729842494,False
gaussian,42,1,28,2,14,50.0,50.0,1.0,1.0,T_0p15K,K,T_0p15K,2,,19.713752636631845,9.57589958637923,112.48412343116973,20.510912282890132,True,179.8709448476882,0.6253601632349208,37.463983676507915,False
gaussian,42,1,28,2,14,50.0,50.0,1.0,1.0,T_0p05NL_over_Lp2,N_L,T_0p05NL_over_Lp2,1,,21.444292007153788,2.831287922566131,131.90513999878368,21.202617191977318,True,179.8709448476882,0.7333321127015751,26.666788729842494,False
gaussian,42,1,28,2,14,50.0,50.0,1.0,1.0,T_0p075NL_over_Lp2,N_L,T_0p075NL_over_Lp2,1,,21.444292007153788,2.831287922566131,131.90513999878368,21.202617191977318,True,179.8709448476882,0.7333321127015751,26.666788729842494,False
gaussian,42,1,28,2,14,50.0,50.0,1.0,1.0,T_0p10NL_over_Lp2,N_L,T_0p10NL_over_Lp2,1,,21.444292007153788,2.831287922566131,131.90513999878368,21.202617191977318,True,179.8709448476882,0.7333321127015751,26.666788729842494,False
gaussian,42,1,28,2,14,50.0,50.0,1.0,1.0,T_0p125NL_over_Lp2,N_L,T_0p125NL_over_Lp2,2,,19.713752636631845,9.57589958637923,112.48412343116973,20.510912282890132,True,179.8709448476882,0.6253601632349208,37.463983676507915,False
gaussian,42,1,28,2,14,50.0,50.0,1.0,1.0,T_0p15NL_over_Lp2,N_L,T_0p15NL_over_Lp2,2,,19.713752636631845,9.57589958637923,112.48412343116973,20.510912282890132,True,179.8709448476882,0.6253601632349208,37.463983676507915,False
gaussian,42,1,28,2,14,50.0,50.0,1.0,1.0,strong_weak,heuristic,strong/weak H3,7,,20.74698353399322,63.521391903238246,83.50135296494119,19.21693512375193,True,179.8709448476882,0.4642292452271754,53.577075477282456,False
gaussian,42,2,28,2,7,75.0,25.0,1.0,1.0,best_tested_T,best_tested,best tested T per sample,0,,11.92847024232398,27.10357411515471,34.93923671539667,15.433134131279596,True,36.295455488677426,0.9626339233102106,3.736607668978942,False
gaussian,42,2,28,2,7,75.0,25.0,1.0,1.0,T_0p025N,N,T_0p025N,1,,9.877079377999959,2.2009616394671982,30.442373060208453,14.834785037747341,True,36.295455488677426,0.8387378709079742,16.126212909202575,False
gaussian,42,2,28,2,7,75.0,25.0,1.0,1.0,T_0p05N,N,T_0p05N,1,,9.877079377999959,2.2009616394671982,30.442373060208453,14.834785037747341,True,36.295455488677426,0.8387378709079742,16.126212909202575,False
gaussian,42,2,28,2,7,75.0,25.0,1.0,1.0,T_0p075N,N,T_0p075N,2,,7.972990152700393,0.6224736191806441,19.65711180422881,12.935197078180911,True,36.295455488677426,0.5415860343827605,45.84139656172395,False
gaussian,42,2,28,2,7,75.0,25.0,1.0,1.0,T_0p10N,N,T_0p10N,3,,8.426871598796065,2.5876836214000702,24.321623201797955,13.859925559649893,True,36.295455488677426,0.6701010601557328,32.98989398442672,False
gaussian,42,2,28,2,7,75.0,25.0,1.0,1.0,T_0p10K,K,T_0p10K,1,,9.877079377999959,2.2009616394671982,30.442373060208453,14.834785037747341,True,36.295455488677426,0.8387378709079742,16.126212909202575,False
gaussian,42,2,28,2,7,75.0,25.0,1.0,1.0,T_0p20K,K,T_0p20K,1,,9.877079377999959,2.2009616394671982,30.442373060208453,14.834785037747341,True,36.295455488677426,0.8387378709079742,16.126212909202575,False
gaussian,42,2,28,2,7,75.0,25.0,1.0,1.0,legacy_T25,legacy,legacy_T25,7,,5.929940352085786,2.2354493131944624,14.353224615285658,11.569494812303926,True,36.295455488677426,0.3954551450597783,60.45448549402217,False
gaussian,42,2,28,2,7,75.0,25.0,1.0,1.0,legacy_T50,legacy,legacy_T50,7,,5.929940352085786,2.2354493131944624,14.353224615285658,11.569494812303926,True,36.295455488677426,0.3954551450597783,60.45448549402217,False
gaussian,42,2,28,2,7,75.0,25.0,1.0,1.0,legacy_T100,legacy,legacy_T100,7,,5.929940352085786,2.2354493131944624,14.353224615285658,11.569494812303926,True,36.295455488677426,0.3954551450597783,60.45448549402217,False
gaussian,42,2,28,2,7,75.0,25.0,1.0,1.0,T_0p05K,K,T_0p05K,0,,11.92847024232398,27.10357411515471,34.93923671539667,15.433134131279596,True,36.295455488677426,0.9626339233102106,3.736607668978942,False
gaussian,42,2,28,2,7,75.0,25.0,1.0,1.0,T_0p15K,K,T_0p15K,1,,9.877079377999959,2.2009616394671982,30.442373060208453,14.834785037747341,True,36.295455488677426,0.8387378709079742,16.126212909202575,False
gaussian,42,2,28,2,7,75.0,25.0,1.0,1.0,T_0p05NL_over_Lp2,N_L,T_0p05NL_over_Lp2,1,,9.877079377999959,2.2009616394671982,30.442373060208453,14.834785037747341,True,36.295455488677426,0.8387378709079742,16.126212909202575,False
gaussian,42,2,28,2,7,75.0,25.0,1.0,1.0,T_0p075NL_over_Lp2,N_L,T_0p075NL_over_Lp2,1,,9.877079377999959,2.2009616394671982,30.442373060208453,14.834785037747341,True,36.295455488677426,0.8387378709079742,16.126212909202575,False
gaussian,42,2,28,2,7,75.0,25.0,1.0,1.0,T_0p10NL_over_Lp2,N_L,T_0p10NL_over_Lp2,1,,9.877079377999959,2.2009616394671982,30.442373060208453,14.834785037747341,True,36.295455488677426,0.8387378709079742,16.126212909202575,False
