sigma,heuristic,selection_hash,active_count,turned_off_fraction,u_bf,u_i,u_g,log10_u_g,log2_u_g_per_active,min_channel_eig,max_channel_eig,sigma_over_min_channel_eig,elapsed_seconds,u_g_vs_min_sigma,u_g_vs_best_h12,bf_vs_h2,interference_score_vs_h2
10.0,Pareto-H2,9f04aa8db124,492,0.508,14681.56427851913,273.11592312157154,179915525359064.47,14.25506864131579,0.09624860368726575,3176.11563639068,4020.849978203491,0.003148499974441719,0.5058057090000005,1.011051185986894,0.8190454052903915,1.0665974182019764,1.5320523491623699
30.0,H1,8ef301c75cfc,500,0.5,15489.45878604032,1025287.3937655017,224303307281367.6,14.35083567716504,0.0953448884421729,3255.161722445191,4654.310134074498,0.009216131964547923,0.016255416999999994,1.0318823667567503,1.0,1.1252899512015033,0.0004081079062869601
30.0,H2,396a73922967,500,0.5,13764.860131828063,418.4278916120529,144212375303338.66,14.159002530115332,0.09407037660074273,3133.370888108417,3666.3522425976034,0.009574353331057685,0.3037534589999993,1.0354525149035967,0.6429346809516173,1.0,1.0
30.0,Coutino,42abbe8ac011,500,0.5,16998.06276153317,869492.4952103049,327598376350222.2,14.515341740634515,0.09643784307021006,3678.655616391511,4981.216724666212,0.008155153166913672,0.4416705830000005,1.028879217880709,1.460515140506959,1.2348881571436436,0.0004812323210574088
30.0,MISO-EE,d8e2d29feb02,470,0.53,15666.110772215103,880697.7022929043,235769642384549.5,14.372487884755548,0.1015837687187185,3324.7200022519455,4629.860608076236,0.009023316243076104,0.7771514170000025,1.031443492632298,1.0511197772434022,1.1381234986900328,0.00047510955294043826
30.0,Pareto-H2,9f04aa8db124,492,0.508,14681.56427851913,273.11592312157154,183897707484706.56,14.264576315247064,0.09631279842130909,3176.11563639068,4020.849978203491,0.009445499923325157,0.5066756249999997,1.0334294101724444,0.8198617742805906,1.0665974182019764,1.5320523491623699
100.0,H1,8ef301c75cfc,500,0.5,15489.45878604032,1025287.3937655017,241115044138037.16,14.38222430860351,0.09555342999544393,3255.161722445191,4654.310134074498,0.03072043988182641,0.016482249999999254,1.1092228885137065,1.0,1.1252899512015033,0.0004081079062869601
100.0,H2,396a73922967,500,0.5,13764.860131828063,418.4278916120529,156243344232018.16,14.193801526016921,0.09430157612506146,3133.370888108417,3666.3522425976034,0.03191451110352562,0.3113066670000002,1.121835510868575,0.6480032997964641,1.0,1.0
100.0,Coutino,4f72103a3f3b,500,0.5,17003.06212624383,920718.5232264102,349828304936069.4,14.54385494573793,0.09662728070442668,3669.5985834329363,5003.762506947175,0.027250937051117256,0.4434757910000009,1.0986961436901916,1.4508771370391738,1.2352513547833421,0.0004544579923794571
100.0,MISO-EE,d8e2d29feb02,470,0.53,15666.110772215103,880697.7022929043,253196295923429.56,14.40345734798125,0.10180265878249092,3324.7200022519455,4629.860608076236,0.03007772081025368,0.7849293750000008,1.1076815027901883,1.0501057568953513,1.1381234986900328,0.00047510955294043826
100.0,Pareto-H2,9f04aa8db124,492,0.508,14681.56427851913,273.11592312157154,198355989300022.06,14.297445318400689,0.09653472619575415,3176.11563639068,4020.849978203491,0.031484999744417194,0.5055846250000009,1.1146790018768493,0.822661190674043,1.0665974182019764,1.5320523491623699
