target_obj,exact_objective,sample,seed,N,L,K,algorithm,active_count,valid,u_bf,u_i,u_g,meets_bf_floor,meets_interference_ceiling,objective_gap_pct,subset,elapsed_seconds,enumeration_seconds,gurobi_model_seconds,direct_scan_seconds,target_metric,target_direction,target_value,candidate_count
gen,general,0,42,18,4,9,Coutino,9,True,15.166587198403537,19.985939088955206,307.0653768201428,True,True,0.0,3 7 9 11 12 13 15 16 17,0.0010851999977603555,,,,u_g,max,307.0653768201428,48620
gen,general,0,42,18,4,9,MISO-EE,9,True,15.166587198403537,19.985939088955206,307.0653768201428,True,True,0.0,3 7 9 11 12 13 15 16 17,0.0023683999897912145,,,,u_g,max,307.0653768201428,48620
gen,general,0,42,18,4,9,Pareto-H2,9,True,9.65413120251897,3.4007105503002677,115.8678972922276,True,True,62.26604949990997,1 4 6 7 9 12 13 14 16,0.002438399998936802,,,,u_g,max,115.8678972922276,48620
gen,general,0,42,18,4,9,H3-threshold-BF,9,True,17.259571976452683,43.75682344628309,302.724575772539,True,True,1.4136406691485386,3 5 7 9 11 12 13 15 16,0.0007405999931506813,,,,u_g,max,302.724575772539,48620
gen,general,0,42,18,4,9,H3-threshold-Int,9,True,9.65413120251897,3.4007105503002677,115.8678972922276,True,True,62.26604949990997,1 4 6 7 9 12 13 14 16,0.0017378000193275511,,,,u_g,max,115.8678972922276,48620
gen,general,0,42,18,4,9,H3-threshold-Gen,9,True,17.259571976452683,43.75682344628309,302.724575772539,True,True,1.4136406691485386,3 5 7 9 11 12 13 15 16,0.0029577999957837164,,,,u_g,max,302.724575772539,48620
gen,general,0,42,18,4,9,Frame-BF,9,True,19.542943316120343,107.11915835292723,160.03886749010238,True,True,47.88117463863669,1 3 4 5 10 11 12 13 15,0.03785620001144707,,,,u_g,max,160.03886749010238,48620
gen,general,0,42,18,4,9,Frame-Int,9,True,8.475316997340279,2.3339682848766863,78.00280714314489,True,True,74.5973290929399,1 2 4 6 7 8 9 10 13,0.027609000011580065,,,,u_g,max,78.00280714314489,48620
gen,general,0,42,18,4,9,Frame-Gen,9,True,15.166587198403537,19.985939088955206,307.0653768201428,True,True,0.0,3 7 9 11 12 13 15 16 17,0.047185499977786094,,,,u_g,max,307.0653768201428,48620
gen,general,0,42,18,4,9,H3-Fast,9,True,8.782581038576158,3.519082082871492,53.97317948742462,True,True,82.42290288590944,1 2 4 5 6 7 8 14 16,0.0011199000000488013,,,,u_g,max,53.97317948742462,48620
bf,bf,1,43,18,4,9,Gurobi-BF,9,True,18.46793389341031,103.8419000733545,177.8316193197471,True,True,0.0,0 1 3 7 8 9 10 12 16,3.9093333999917377,3.22319210000569,0.6861412999860477,0.021414599992567673,u_bf,max,18.46793389341031,48620
bf,bf,1,43,18,4,9,Gurobi-Int,9,True,5.757734782296783,0.6502092012394378,31.09272285756875,True,True,68.82307021712242,2 4 6 7 8 14 15 16 17,3.922709100006614,3.22319210000569,0.6995170000009239,0.022295500006293878,u_bf,max,5.757734782296783,48620
bf,bf,1,43,18,4,9,Gurobi-Gen,9,True,17.13199573014188,72.53764981762062,201.9294412289755,True,True,7.233825781372961,1 3 4 7 8 9 10 12 16,3.9405716999899596,3.22319210000569,0.7173795999842696,0.02050390001386404,u_bf,max,17.13199573014188,48620
