K,sigma,heuristic,K_label,K_mode,K_value,active_pct,off_pct,active_count_mean,active_count_std,u_bf_mean,u_bf_std,u_i_mean,u_i_std,u_g_mean,u_g_std,log10_u_g_mean,log10_u_g_std,u_g_vs_best_case_mean,u_bf_vs_best_case_mean,u_i_vs_best_case_mean,u_g_vs_best_h12_mean,log2_u_g_per_active_mean,min_channel_eig_mean,geom_channel_eig_mean,max_channel_eig_mean,condition_channel_eig_mean,sigma_over_geom_channel_eig_mean,elapsed_seconds_mean,elapsed_seconds_std,samples,selection_hashes
500,1e-06,H3-Fast,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,6097.366325043381,1272.6799016453363,44.144625508692116,18.185201211418352,6718439261398.135,5722112179974.469,12.695470437232787,0.36147432058724077,0.02761239004447117,0.39940342248620014,1.0,0.10269894812554606,0.0843468798465111,1423.6769556197924,1521.6675434640283,1638.7571896653644,1.1549965635479587,6.832471292642715e-10,0.4668075100169517,0.09773258011978643,10,10
500,1e-06,H3-threshold-BF,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,15164.216610397245,2059.7322388172383,995519.1880497836,447444.8166225405,219506605295150.88,116947740679958.75,14.283385888612742,0.24090266127937496,1.0,1.0,5.299372479297363e-05,4.038192228651975,0.09489676174700071,3152.544908988872,3754.8361699698607,4515.392073821912,1.44395718032749,2.709641327655586e-10,0.03470351999858394,0.0067625426852247214,10,10
500,1e-06,H3-threshold-Gen,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,15164.216610397245,2059.7322388172383,995519.1880497836,447444.8166225405,219506605295150.88,116947740679958.75,14.283385888612742,0.24090266127937496,1.0,1.0,5.299372479297363e-05,4.038192228651975,0.09489676174700071,3152.544908988872,3754.8361699698607,4515.392073821912,1.44395718032749,2.709641327655586e-10,0.43679993000114337,0.10102222497858732,10,10
500,1e-06,H3-threshold-Int,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,10187.243054014332,2361.1487412937513,223.00242040082813,101.50993602956392,55579501660685.35,56778512975954.734,13.582097140379336,0.385627936250347,0.21649310814167672,0.6658338355455095,0.20800564112989997,0.8040174144269615,0.09023750015623085,2383.060685017599,2543.318415190969,2721.126119932518,1.1394766633577642,4.1096843275498745e-10,0.419156189984642,0.08964223896921057,10,10
500,1e-06,MISO-EE,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,429.6,32.31855332295815,11136.798616312526,2509.3703524571624,435771.3004382726,231871.1541068838,75483670386782.11,66853125224689.914,13.726599450086436,0.39335743675262574,0.29508489118811,0.7267468952999291,0.00011462209991985601,1.0541884132396289,0.10649919913313288,2346.1142719793706,2764.539676313973,3231.3462109656552,1.3822219822687003,3.787380552885465e-10,0.4640388399828225,0.11759206728550688,10,10
500,1e-06,Pareto-H2,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,490.3,10.209472725529627,10674.477915907128,2008.608254123817,188.2411411255598,69.98697955427545,60813091988364.08,49893667470261.72,13.67549019392728,0.3122963038360646,0.2575858817325679,0.7013238401032036,0.24677146483811613,0.9891746215584677,0.0926874712449405,2464.0479327468934,2662.9197075686657,2866.6275276943816,1.161869528692819,3.8659044506946877e-10,0.33558103000978007,0.08463589603487764,10,10
500,1e-05,Coutino,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,13577.902990595685,1819.4708572460286,616518.4126055278,256973.52682728527,142313113738164.4,79828362375555.72,14.09716631975686,0.22951215158356653,0.6571604442612085,0.896327674124269,7.982983240700598e-05,2.6888112279365344,0.0936595457118004,2866.8172532023273,3370.8616319481503,3928.622760589465,1.3737768074668766,3.0135122257206296e-09,0.3457049899850972,0.08649479438553093,10,10
500,1e-05,H1,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,10876.364746301622,2594.847546076466,626361.0653784412,253413.94663672097,69756105134323.65,64642912838533.66,13.673461854044632,0.42036639161744144,0.2656457182653946,0.7084110453407062,7.533856760010612e-05,0.9412407207323475,0.09084451417464301,2189.5999547781494,2689.8636477490036,3256.3476967549022,1.5031189424868292,3.91787036393331e-09,0.016292599984444676,0.004989578511412069,10,10
500,1e-05,H2,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,9893.066029616382,2189.2544494722342,264.7547242404893,114.81004352954436,47386732070821.51,40506612449384.74,13.53072096746418,0.3906449351445928,0.19206805773070987,0.6468496009859805,0.17850604999047806,0.6871646212876741,0.08989616425180154,2276.462823292512,2468.4171421803726,2653.3644590426225,1.162639498334145,4.239206345727515e-09,0.11014397002290935,0.027846283900912254,10,10
500,1e-05,H3-Fast,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,6097.366325043381,1272.6799016453363,44.144625508692116,18.185201211418352,6718439403858.307,5722112270466.216,12.695470447934666,0.3614743183670116,0.0276123904208102,0.39940342248620014,1.0,0.10269894919287323,0.08434687991761283,1423.6769556197924,1521.6675434640283,1638.7571896653644,1.1549965635479587,6.832471292642716e-09,0.46784460998605937,0.10889353881850278,10,10
500,1e-05,H3-threshold-BF,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,15164.216610397245,2059.7322388172383,995519.1880497836,447444.8166225405,219506607317452.2,116947741492990.75,14.28338589289188,0.24090266067905333,1.0,1.0,5.299372479297363e-05,4.038192209734382,0.09489676177543069,3152.544908988872,3754.8361699698607,4515.392073821912,1.44395718032749,2.7096413276555858e-09,0.03781442998442799,0.008397250426003276,10,10
500,1e-05,H3-threshold-Gen,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,15164.216610397245,2059.7322388172383,995519.1880497836,447444.8166225405,219506607317452.2,116947741492990.75,14.28338589289188,0.24090266067905333,1.0,1.0,5.299372479297363e-05,4.038192209734382,0.09489676177543069,3152.544908988872,3754.8361699698607,4515.392073821912,1.44395718032749,2.7096413276555858e-09,0.46913025999674574,0.12829802109947386,10,10
500,1e-05,H3-threshold-Int,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,10187.243054014332,2361.1487412937513,223.00242040082813,101.50993602956392,55579502344466.01,56778513484874.914,13.582097146813098,0.38562793489059555,0.2164931090577141,0.6658338355455095,0.20800564112989997,0.8040174147173648,0.09023750019897583,2383.060685017599,2543.318415190969,2721.126119932518,1.1394766633577642,4.109684327549875e-09,0.4487315900041722,0.11791492365598938,10,10
500,1e-05,MISO-EE,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,429.6,32.31855332295815,11136.798616312526,2509.3703524571624,435771.3004382726,231871.1541068838,75483671260491.25,66853125806511.72,13.726599456051165,0.3933574354088612,0.2950848921697905,0.7267468952999291,0.00011462209991985601,1.0541884130225607,0.10649919918019138,2346.1142719793706,2764.539676313973,3231.3462109656552,1.3822219822687003,3.787380552885466e-09,0.5098439099965617,0.1541179641853287,10,10
500,1e-05,Pareto-H2,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,490.3,10.209472725529627,10674.477915907128,2008.608254123817,188.2411411255598,69.98697955427545,60813092737374.0,49893667921073.18,13.675490199983614,0.3122963027992355,0.25758588270246585,0.7013238401032036,0.24677146483811613,0.9891746211552135,0.09268747128600356,2464.0479327468934,2662.9197075686657,2866.6275276943816,1.161869528692819,3.865904450694688e-09,0.37669427999062466,0.11284079333034976,10,10
500,0.0001,Coutino,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,13577.902990595685,1819.4708572460286,616518.4126055278,256973.52682728527,142313128314094.12,79828368412216.64,14.097166367208851,0.22951214543055984,0.6571604510431106,0.896327674124269,7.982983240700598e-05,2.688811127254605,0.09365954602706458,2866.8172532023273,3370.8616319481503,3928.622760589465,1.3737768074668766,3.0135122257206297e-08,0.3500794899882749,0.07996632400940493,10,10
