sigma,heuristic,selection_hash,active_count,turned_off_fraction,u_bf,u_i,u_g,log10_u_g,log2_u_g_per_active,min_channel_eig,geom_channel_eig,max_channel_eig,condition_channel_eig,sigma_over_min_channel_eig,sigma_over_geom_channel_eig,sigma_over_max_channel_eig,elapsed_seconds,sample,seed,N,L,K,K_mode,K_value,active_pct,off_pct,K_label,P,best_u_g_case,best_u_bf_case,best_u_i_case,u_g_vs_best_case,u_bf_vs_best_case,u_i_vs_best_case,best_h12_u_g,u_g_vs_best_h12,h2_u_bf,h2_u_i,bf_vs_h2,interference_score_vs_h2
10.0,H3-threshold-Int,eaf72ba6d7fe,750,0.25,16671.61795041635,191.90655741095543,303473234423054.3,14.482120393417974,0.06414475014458185,3923.7150990554765,4163.775306032079,4392.409750313034,1.119451754122103,0.002548605020381632,0.0024016665802097815,0.002276654631159429,0.2910438999533653,1,43,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,2064008778876188.0,27162.69290685121,112.01571277529001,0.14703098045362456,0.6137689664124314,0.5836992455417541,513463299852253.5,0.5910319871164642,16671.61795041635,191.90655741095543,1.0,1.0
10.0,H3-threshold-Gen,7f53f4ee3c53,750,0.25,27162.69290685121,3106639.409147769,2064008778876188.0,15.31471154014964,0.06783249404042506,5797.373241248682,6730.19281422814,8215.250898211452,1.417064342133333,0.001724919128692519,0.0014858415317402555,0.0012172482768818547,0.34221399994567037,1,43,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,2064008778876188.0,27162.69290685121,112.01571277529001,1.0,1.0,3.605687626489577e-05,513463299852253.5,4.0197785887912465,16671.61795041635,191.90655741095543,1.6292775534826158,6.177303900989279e-05
10.0,H3-Fast,34ca49b1d4f0,750,0.25,15498.911398770337,112.01571277529001,227578540723057.97,14.35713130831644,0.06359114380677779,3823.7661446168086,3874.0304779842504,4002.597012465759,1.0467682544082129,0.002615222694535921,0.0025812909983101723,0.0024983779203491692,0.589547700015828,1,43,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,2064008778876188.0,27162.69290685121,112.01571277529001,0.11026045191870258,0.5705955389592858,1.0,513463299852253.5,0.44322260381324735,16671.61795041635,191.90655741095543,0.9296585037436799,1.7132110545592034
100.0,H1,c86dc1eef030,750,0.25,19197.594381544033,1900033.1902977377,553825711828229.44,14.743373114367136,0.06530190048269757,3893.5239490151994,4750.1202646522925,5807.121079901297,1.4914820496661152,0.025683674046821595,0.02105209856351289,0.017220236778961683,0.0309461000142619,1,43,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,2177452464635356.8,27162.69290685121,112.01571277529001,0.254345718596881,0.7067632965324233,5.8954608449622397e-05,553825711828229.44,1.0,16671.61795041635,191.90655741095543,1.1515135746656553,0.00010100168691310251
100.0,H2,eaf72ba6d7fe,750,0.25,16671.61795041635,191.90655741095543,330534528906658.4,14.519216834261433,0.0643090590899928,3923.7150990554765,4163.775306032079,4392.409750313034,1.119451754122103,0.02548605020381632,0.024016665802097815,0.022766546311594287,0.17819030000828207,1,43,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,2177452464635356.8,27162.69290685121,112.01571277529001,0.15179873465665333,0.6137689664124314,0.5836992455417541,553825711828229.44,0.5968204831363527,16671.61795041635,191.90655741095543,1.0,1.0
100.0,Coutino,a4ae0b3965b8,750,0.25,23516.06274004735,2951902.286132902,1225559893735373.5,15.08833454029896,0.06682981655263802,4823.0288263009525,5815.7048391402395,7169.272299363677,1.4864668152651679,0.02073385907516865,0.017194820364161298,0.013948417053272714,0.4236462999833748,1,43,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,2177452464635356.8,27162.69290685121,112.01571277529001,0.5628411704227995,0.8657485773111959,3.794695823825341e-05,553825711828229.44,2.212898151098272,16671.61795041635,191.90655741095543,1.4105447239726407,6.501114834067219e-05
100.0,MISO-EE,f717ccfe41a2,639,0.361,19501.095273228966,2257708.5455566198,585156160153029.6,14.767271781368475,0.07676966356082204,3939.6157923991436,4817.167544487066,5987.253859036557,1.519755776841996,0.025383185891612564,0.020759086968947855,0.016702147988776207,0.6479271999560297,1,43,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,2177452464635356.8,27162.69290685121,112.01571277529001,0.2687342982943243,0.7179367428739082,4.9614779992637823e-05,553825711828229.44,1.0565709530194536,16671.61795041635,191.90655741095543,1.169718219984879,8.50005895529099e-05
100.0,Pareto-H2,eaf72ba6d7fe,750,0.25,16671.61795041635,191.90655741095543,330534528906658.4,14.519216834261433,0.0643090590899928,3923.7150990554765,4163.775306032079,4392.409750313034,1.119451754122103,0.02548605020381632,0.024016665802097815,0.022766546311594287,0.5292877999600023,1,43,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,2177452464635356.8,27162.69290685121,112.01571277529001,0.15179873465665333,0.6137689664124314,0.5836992455417541,553825711828229.44,0.5968204831363527,16671.61795041635,191.90655741095543,1.0,1.0
100.0,H3-threshold-BF,7f53f4ee3c53,750,0.25,27162.69290685121,3106639.409147769,2177452464635356.8,15.337948682820047,0.06793541686320069,5797.373241248682,6730.19281422814,8215.250898211452,1.417064342133333,0.01724919128692519,0.014858415317402554,0.012172482768818547,0.02509699994698167,1,43,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,2177452464635356.8,27162.69290685121,112.01571277529001,1.0,1.0,3.605687626489577e-05,553825711828229.44,3.9316565087731057,16671.61795041635,191.90655741095543,1.6292775534826158,6.177303900989279e-05
100.0,H3-threshold-Int,eaf72ba6d7fe,750,0.25,16671.61795041635,191.90655741095543,330534528906658.4,14.519216834261433,0.0643090590899928,3923.7150990554765,4163.775306032079,4392.409750313034,1.119451754122103,0.02548605020381632,0.024016665802097815,0.022766546311594287,0.2848508000606671,1,43,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,2177452464635356.8,27162.69290685121,112.01571277529001,0.15179873465665333,0.6137689664124314,0.5836992455417541,553825711828229.44,0.5968204831363527,16671.61795041635,191.90655741095543,1.0,1.0
