data_profile,off_pct,K,T,threshold_source,samples,winner_rate,u_g_mean,u_g_p05,u_g_p50,u_g_p95,u_g_db_mean,u_g_vs_best_T_mean,u_g_vs_best_T_p05,u_g_gap_to_best_pct_mean,elapsed_seconds_mean,candidate_kind_mode
nakagami,25.0,750,8,gap_top2+gap_top3+gap_top1,38,0.0,486567707.63132304,328563999.10199225,476238361.9540897,718895443.8658648,86.76261457268856,0.7869844666174824,0.6815713475896661,21.301553338251765,0.04157013176365198,power_window
nakagami,25.0,750,7,gap_top2+gap_top3+gap_top1,38,0.0,506633480.13134587,305167967.8249654,513282060.2262913,700508719.681855,86.8991403743645,0.7694609478331695,0.6894341439152043,23.053905216683045,0.041532969342082844,power_window
nakagami,25.0,750,167,mean_plus_1std,3,0.0,556281537.3135171,293972785.57431567,626881961.3048822,769169992.2587631,87.00649475554798,0.7684503916603299,0.7584835531888909,23.15496083396701,0.017927786000655033,power_window
nakagami,25.0,750,169,mean_plus_1std,2,0.0,468019091.64388466,434293707.52976996,468019091.64388466,501744475.7579994,86.68867034597142,0.7669596856809913,0.7598424286440997,23.304031431900867,0.016365921501346747,power_window
nakagami,25.0,750,200,quantile_0.8,400,0.0,451773390.97450095,287727763.5112668,452213038.2409821,602902469.9105356,86.43945775034322,0.748360212695136,0.6948756445859706,25.16397873048641,0.011885892897416851,power_window
nakagami,25.0,750,6,gap_top2+gap_top3+gap_top1,65,0.0,454558015.4797648,268656207.37567174,455595733.7966614,624498160.4378972,86.44716236448104,0.7478946832925301,0.6649178771458994,25.210531670746995,0.04173252278454199,power_window
nakagami,25.0,750,171,mean_plus_1std,1,0.0,750792995.2674057,750792995.2674057,750792995.2674057,750792995.2674057,88.75520212096745,0.7440672792414644,0.7440672792414644,25.593272075853555,0.015890359001787147,power_window
nakagami,25.0,750,172,mean_plus_1std,1,0.0,558752989.9578259,558752989.9578259,558752989.9578259,558752989.9578259,87.47219860110839,0.7357043159594491,0.7357043159594491,26.429568404055093,0.015561500997137045,power_window
nakagami,25.0,750,5,legacy+off_pct_2+gap_top3+gap_top1+gap_top2,400,0.0,435567943.9285543,253157308.44609094,431805834.28107095,625603006.2366449,86.22866797244693,0.7158068218055514,0.5886403294298213,28.419317819444856,0.042331140222604514,power_window
nakagami,25.0,750,4,gap_top3+gap_top1+gap_top2,128,0.0,436111582.020372,243459680.6009543,427483875.3509782,617335852.3682549,86.22192162411983,0.7054168676708957,0.5658401744484888,29.45831323291043,0.042223520546826876,power_window
nakagami,25.0,750,176,mean_plus_1std,1,0.0,368238098.77788484,368238098.77788484,368238098.77788484,368238098.77788484,85.66128719618904,0.6973479565592324,0.6973479565592324,30.265204344076757,0.015103585999895586,power_window
nakagami,25.0,750,3,gap_top1+gap_top2+gap_top3,136,0.0,402329269.94305,239797232.31569684,393167155.181229,591093778.9877542,85.86061380646315,0.6709088153172473,0.5639537574314513,32.90911846827527,0.04252579399995097,power_window
nakagami,25.0,750,2,legacy+off_pct_1+gap_top1+gap_top2+gap_top3,400,0.0,377995198.2523858,209972716.7198614,373227171.974802,580999589.1842145,85.57372002154956,0.6176596550503207,0.48784941748334054,38.23403449496793,0.04255214628004069,power_window
nakagami,25.0,750,1,legacy+off_pct_0.5+gap_top2+gap_top1+gap_top3,400,0.0,343775218.6459332,173071281.83531964,335149793.58604395,538439058.504554,85.11226338312571,0.5575336394461934,0.42148622333064817,44.24663605538066,0.04273669432503084,power_window
nakagami,25.0,750,0,top_power,400,0.0,306766029.52863336,137099670.40227762,297752144.62598634,499444141.7759624,84.5349355978089,0.491525299870037,0.33128752812311724,50.84747001299629,0.017370275289886196,power_window
nakagami,50.0,500,70,mean_plus_1.5std,3,0.6666666666666666,198416141.2362148,151058528.23956755,212174389.79412815,236142980.24232268,82.879693740973,0.9998152887574486,0.9995012796451113,0.018471124255137195,0.061022622668436576,power_window
nakagami,50.0,500,74,mean_plus_1.5std,7,0.7142857142857143,224005109.76176473,195748015.5634782,217213594.9163724,257505236.50116548,83.48048205345047,0.9988219953823825,0.9951219037631379,0.11780046176174437,0.06019029914334949,power_window
nakagami,50.0,500,35,mean_plus_2std,6,0.8333333333333334,228010364.2525656,160240362.0241647,230259212.6212867,287482102.25965315,83.4757799610455,0.9987246396336961,0.9942608783516326,0.12753603663038793,0.06642505233321572,power_window
nakagami,50.0,500,67,mean_plus_1.5std,1,0.0,146574692.31300706,146574692.31300706,146574692.31300706,146574692.31300706,81.66058991194521,0.9983018720604471,0.9983018720604471,0.16981279395529292,0.06110071799776051,power_window
nakagami,50.0,500,68,mean_plus_1.5std,3,0.6666666666666666,173554024.77360508,123563732.92278007,173204631.6541596,223788891.80804187,82.23743187689128,0.997809088756738,0.9940845396431924,0.21909112432620578,0.06041809866655967,power_window
nakagami,50.0,500,65,gap_top2,1,0.0,299897054.66063446,299897054.66063446,299897054.66063446,299897054.66063446,84.76972200501392,0.9964244740186112,0.9964244740186112,0.3575525981388772,0.060781558000599034,power_window
nakagami,50.0,500,34,mean_plus_2std+gap_top3,5,0.2,230177107.08995667,194358192.38479167,225143143.67244962,277002965.7503911,83.57609337677037,0.9951189242852283,0.9846358428662557,0.48810757147715655,0.06644945400112193,power_window
nakagami,50.0,500,72,mean_plus_1.5std,9,0.6666666666666666,191454502.6582439,127015721.79834065,186566735.47830775,287919615.62680817,82.6393830920561,0.9946082268869242,0.9753353665434523,0.5391773113075791,0.06071399188982064,power_window
nakagami,50.0,500,77,mean_plus_1.5std,24,0.4166666666666667,200683866.23946086,133876581.08051988,198235674.61361143,268798677.3056967,82.88526916801045,0.994480206403237,0.9850310069025382,0.5519793596763051,0.05946173962471827,power_window
nakagami,50.0,500,73,mean_plus_1.5std,11,0.18181818181818182,192193576.311345,141624156.65389442,200670148.9029341,235061689.58363625,82.76058759009629,0.9943231075233224,0.982042635233934,0.5676892476677555,0.06065715318221588,power_window
nakagami,50.0,500,78,mean_plus_1.5std,10,0.3,198542792.9693577,135310531.4402897,203586764.30561113,251881332.24775982,82.8863671298322,0.992593187575553,0.9731476402913757,0.7406812424446918,0.05933968139979697,power_window
nakagami,50.0,500,30,mean_plus_2std,2,0.5,239502659.10106528,214310055.8097786,239502659.10106528,264695262.39235198,83.76323733829304,0.9917895098304158,0.9844000686777901,0.8210490169584195,0.06662846949984669,power_window
nakagami,50.0,500,71,mean_plus_1.5std,4,0.5,199669778.89290255,167612160.95752493,203752251.73773512,226011934.84551463,82.96276932065793,0.9916348498926035,0.9823702895040336,0.8365150107396468,0.059990906248458487,power_window
nakagami,50.0,500,81,mean_plus_1.5std,25,0.24,210915475.43021396,138378032.36590135,203579807.37185383,298220119.72853756,83.11631333812058,0.989662906003028,0.9656728965202093,1.0337093996972064,0.060304236999945714,power_window
nakagami,50.0,500,32,mean_plus_2std+gap_top3,3,0.3333333333333333,214162359.75178573,182945396.11542362,214739191.45922565,244975541.19293985,83.26934263927222,0.9893344341045133,0.9713870087212816,1.0665565895486617,0.06643970533332322,power_window
nakagami,50.0,500,80,mean_plus_1.5std,27,0.2222222222222222,216274411.46430615,144241889.38549805,208144589.52079484,287929654.68721694,83.23027023833811,0.9876045785266814,0.9663777464361369,1.2395421473318562,0.05951425259196118,power_window
nakagami,50.0,500,76,mean_plus_1.5std,11,0.36363636363636365,213095599.11910403,154974053.97786942,212999043.1729941,278194408.9708905,83.1941225010922,0.9873847460085424,0.946943246516467,1.2615253991457556,0.05946390409074163,power_window
nakagami,50.0,500,79,mean_plus_1.5std,27,0.37037037037037035,202333295.37000746,126258500.69774112,203112469.0269885,277948372.47931147,82.90532998815353,0.9873331529930972,0.9639468213420601,1.266684700690273,0.05952940562996513,power_window
nakagami,50.0,500,39,mean_plus_2std,32,0.4375,212542446.09819728,160367686.46244982,212562025.59401613,271595017.72599965,83.19636075701828,0.9857849406000935,0.9519619114218976,1.4215059399906473,0.06622412018737123,power_window
nakagami,50.0,500,37,mean_plus_2std,17,0.4117647058823529,193848341.42135864,134970254.15971217,194859766.845829,271631639.2152541,82.74726171063564,0.9857112301651092,0.9443486755984164,1.4288769834890886,0.06755017823546522,power_window
nakagami,50.0,500,83,mean_plus_1.5std,25,0.16,215896912.6970878,155088590.52249986,217799835.9917299,273953584.29846936,83.2337078862913,0.9851482511650909,0.9606784248209753,1.4851748834909093,0.05880569859989919,power_window
nakagami,50.0,500,38,mean_plus_2std,21,0.42857142857142855,211276968.85094428,136400814.5938648,211316815.28147814,280236029.96644914,83.09351745312267,0.9841122916775686,0.947113986537986,1.5887708322431338,0.06629547742843334,power_window
nakagami,50.0,500,31,gap_top3,1,0.0,264578845.07662418,264578845.07662418,264578845.07662418,264578845.07662418,84.22555116367815,0.9839416435137912,0.9839416435137912,1.6058356486208791,0.06633163500009687,power_window
nakagami,50.0,500,50,legacy+off_pct_10+quantile_0.95+mean_plus_2std,400,0.3,215239917.6189106,137752188.4875651,215750954.1480476,286765379.2470397,83.2165539448999,0.980914074455645,0.9413997265385071,1.9085925544355027,0.06441451260250687,power_window
nakagami,50.0,500,138,mean_plus_1std,1,0.0,177929222.88240147,177929222.88240147,177929222.88240147,177929222.88240147,82.5024728194739,0.9804037065598393,0.9804037065598393,1.9596293440160673,0.05196409199925256,power_window
nakagami,50.0,500,75,off_pct_15+mean_plus_1.5std,400,0.1875,214804329.8418992,137530083.16139367,215048234.19962236,287282695.4767533,83.2098175132536,0.9793480356357099,0.9442694662567663,2.0651964364289985,0.060320553689998634,power_window
nakagami,50.0,500,40,mean_plus_2std+gap_top3,31,0.2903225806451613,223770751.29683855,158345394.19121036,225373191.72473794,302505020.7913588,83.4004054364962,0.9792175150111994,0.9467069917748595,2.0782484988800682,0.06566788564528143,power_window
nakagami,50.0,500,42,mean_plus_2std,36,0.1388888888888889,209183851.4454282,140826118.45127708,206064173.0856688,275723173.36366993,83.08488634620173,0.9791819447938308,0.9479707585794308,2.0818055206169137,0.06526335350008594,power_window
nakagami,50.0,500,43,mean_plus_2std+gap_top3,47,0.14893617021276595,219349825.66771924,138536470.9475585,222520561.2660278,291339476.02192974,83.28271284884397,0.9770825215041113,0.9265613477765364,2.291747849588868,0.06563925846816385,power_window
nakagami,50.0,500,82,mean_plus_1.5std,31,0.12903225806451613,211193341.58145127,144178004.6860735,220609519.1681186,273006901.1636907,83.13117267857393,0.9763666764188217,0.9515891747520848,2.3633323581178254,0.05874699806431196,power_window
nakagami,50.0,500,45,mean_plus_2std,35,0.14285714285714285,198996840.34132573,130024786.8076949,207549483.1444421,265962856.2893315,82.86031585674004,0.9758015740862557,0.9432176157887998,2.419842591374425,0.06499132377128782,power_window
nakagami,50.0,500,84,mean_plus_1.5std,30,0.1,218851401.84004351,138727066.2571135,215285022.45010442,288271291.68269193,83.30797480422517,0.9723407135968123,0.9407005031073764,2.765928640318772,0.05918450053298632,power_window
nakagami,50.0,500,85,mean_plus_1.5std,30,0.1,217152683.23848164,170029743.77064443,217519452.5562514,266697253.82851326,83.32074161209445,0.9722938594710375,0.9288421745625953,2.7706140528962493,0.05832367686695458,power_window
nakagami,50.0,500,44,mean_plus_2std,34,0.11764705882352941,210403837.12637174,135882268.9548102,209137591.13715583,294233577.72300684,83.09124509182686,0.9722783620600906,0.9288637310957883,2.7721637939909307,0.06534426085336771,power_window
nakagami,50.0,500,23,gap_top1+gap_top3,3,0.0,264377303.66223335,239184596.14153868,258787159.0410671,293483112.4177444,84.20317925395364,0.9720585852969155,0.9696826069178652,2.794141470308446,0.06846877466644703,power_window
nakagami,50.0,500,41,mean_plus_2std+gap_top3,40,0.2,220766489.6057436,152144677.50935856,209900351.44961584,311144911.2036342,83.29510066030484,0.9717448987734478,0.9396011317680673,2.8255101226552095,0.06603964655014352,power_window
nakagami,50.0,500,86,mean_plus_1.5std,26,0.0,220205801.79421568,149711700.32680267,234316920.92223984,271922012.1433789,83.33292667128015,0.9701447976437976,0.9461943303169101,2.985520235620248,0.058347598346349866,power_window
nakagami,50.0,500,132,mean_plus_1std,2,0.0,151782564.5714128,138257733.5886534,151782564.5714128,165307395.55417222,81.7908280895194,0.96790777016403,0.9638999780689521,3.2092229835970096,0.05551751899838564,power_window
nakagami,50.0,500,33,gap_top3+mean_plus_2std,5,0.4,201976491.39137322,138060809.41245946,216320366.3606954,262477714.94047356,82.88199537300387,0.9668314555217309,0.9408980990664252,3.316854447826907,0.06660111839883029,power_window
nakagami,50.0,500,49,mean_plus_2std,11,0.09090909090909091,223344610.80522212,182460504.73697835,215971358.0501126,280917076.275664,83.4419516624843,0.9664643281060518,0.9279572726602355,3.353567189394815,0.06562292227350884,power_window
nakagami,50.0,500,46,mean_plus_2std,22,0.045454545454545456,221012627.2533017,158457524.9291984,219680630.3366379,265298299.95365423,83.3743372783482,0.9664274378385077,0.9313505297362001,3.3572562161492354,0.06536167372723867,power_window
nakagami,50.0,500,36,mean_plus_2std+gap_top2,6,0.3333333333333333,227642347.37124884,145311170.49454808,250718348.0056907,287711098.9312419,83.41916445061334,0.9652961230632924,0.9288227544894214,3.4703876936707605,0.06619607733288528,power_window
nakagami,50.0,500,47,mean_plus_2std,24,0.08333333333333333,212321060.76280352,146275628.3432779,213165483.82986987,284218063.32365286,83.17045044589439,0.9648470135604591,0.9271687337716008,3.515298643954098,0.06513308374981837,power_window
nakagami,50.0,500,48,mean_plus_2std,11,0.09090909090909091,224524885.36097908,170757317.10607696,229687490.48088586,281106515.3497235,83.45055283212577,0.9627463478974267,0.9293979333626365,3.7253652102573174,0.06518748745425414,power_window
nakagami,50.0,500,133,mean_plus_1std,2,0.0,183706977.0339885,154930053.28009123,183706977.0339885,212483900.78788576,82.57445757896505,0.9610801202660513,0.954825970721258,3.891987973394878,0.050574299501022324,power_window
nakagami,50.0,500,88,mean_plus_1.5std,16,0.0,238420226.18490416,179059505.45746282,219613013.92301136,341226938.44817394,83.68774119268883,0.9607639653128448,0.9288180318552759,3.9236034687155197,0.05800047056277435,power_window
nakagami,50.0,500,87,mean_plus_1.5std,16,0.0625,217767419.05620873,161158268.71573678,215172026.0166583,269363674.3165846,83.30594124298554,0.9596501965744799,0.9322509891999514,4.034980342552005,0.05889136681253149,power_window
nakagami,50.0,500,100,legacy+off_pct_20+quantile_0.9,400,0.075,209792177.80545634,134397406.50439692,210720341.53734773,280833997.6678812,83.10810617095485,0.9568766285475087,0.9109149713763346,4.31233714524913,0.05638413043984656,power_window
nakagami,50.0,500,139,mean_plus_1std,4,0.0,220596092.05604607,173053939.8350543,218267551.97150052,271398200.3954016,83.33678293676275,0.9566826174765226,0.9441449747055165,4.331738252347744,0.05067508774845919,power_window
nakagami,50.0,500,136,mean_plus_1std,3,0.0,171637474.4095106,154370801.42714936,160156290.38737366,196940976.20736778,82.31517932170031,0.95598462183432,0.9425853801885531,4.401537816567995,0.050774796665791655,power_window
nakagami,50.0,500,134,mean_plus_1std,3,0.0,168714067.55246207,120749287.31143932,195428069.1023388,197979046.7085711,82.1306443561458,0.9544659123319131,0.9425907567860876,4.553408766808687,0.05245485999936742,power_window
nakagami,50.0,500,140,mean_plus_1std,8,0.0,167113377.2873402,124779462.12195927,159942907.4465108,222361632.98005822,82.1323733376952,0.9543912779675804,0.9339828311207087,4.5608722032419635,0.050452885874619824,power_window
nakagami,50.0,500,90,mean_plus_1.5std,10,0.0,239222631.61374545,186223563.29391637,242073349.9556299,284670670.3746398,83.74734914591355,0.9526832153140044,0.9308950944915437,4.731678468599569,0.057539441600602,power_window
nakagami,50.0,500,28,gap_top3,2,0.0,217622221.82555836,188992709.39008012,217622221.82555836,246251734.26103657,83.33013246086686,0.9515186824242274,0.9270226308677152,4.848131757577251,0.0677584629975172,power_window
nakagami,50.0,500,54,mean_plus_2std,2,0.0,197787368.41429448,187278495.24061224,197787368.41429448,208296241.58797675,82.95440424395983,0.9494163577964367,0.9369225518334369,5.058364220356321,0.06372959250074928,power_window
nakagami,50.0,500,51,mean_plus_2std,5,0.0,228671199.0480147,176664650.79632425,232778382.39940077,269352505.05737394,83.52980286664872,0.9481056484773243,0.9214755393449837,5.189435152267568,0.06363152740086661,power_window
nakagami,50.0,500,137,mean_plus_1std,3,0.0,187761420.43339983,132122861.72113894,162291106.07647514,261229199.195508,82.51678654165265,0.9467170141939084,0.9333143032186373,5.328298580609148,0.05029582399947685,power_window
nakagami,50.0,500,92,mean_plus_1.5std,4,0.0,248217649.16949618,180403623.94215086,269481651.5024097,286262071.1307626,83.85055082902426,0.9465220581151031,0.9154298218188709,5.347794188489686,0.05666917274993466,power_window
nakagami,50.0,500,89,mean_plus_1.5std,18,0.0,224270976.47719166,170284409.9814508,210421978.7598455,337123041.7475327,83.40057527003543,0.945918657434071,0.907832966650456,5.408134256592902,0.05778116638874861,power_window
nakagami,50.0,500,91,mean_plus_1.5std,5,0.0,189443996.4407739,140298393.1132277,182399965.50355396,246748277.50050437,82.67118882489001,0.9438938024509923,0.9279569139828737,5.610619754900776,0.058658633400045804,power_window
nakagami,50.0,500,26,gap_top3+gap_top2,5,0.0,238911394.2377882,150359418.8249095,192676731.72430465,342372843.1605362,83.50399868823493,0.9364737442757611,0.8944925527846767,6.352625572423878,0.06718133599861176,power_window
nakagami,50.0,500,24,gap_top3,1,0.0,242775970.53180164,242775970.53180164,242775970.53180164,242775970.53180164,83.85205698952294,0.9360817212747709,0.9360817212747709,6.391827872522915,0.07186407700282871,power_window
nakagami,50.0,500,52,mean_plus_2std,5,0.0,226976307.74386024,178714143.8681755,227700861.47654083,277507897.05209565,83.48759633219916,0.9351458894613808,0.8990483030156138,6.485411053861921,0.06413857320003444,power_window
nakagami,50.0,500,141,mean_plus_1std,9,0.0,174722414.2634063,123466804.17400482,167912896.16508758,230298957.37342083,82.31578274870648,0.93336710140915,0.8864840405795992,6.663289859084999,0.05080327599999793,power_window
