data_profile,generator_seed,sample,off_pct,K,sigma,P,h3_fixed_active_count,h3_fixed_u_bf,h3_fixed_u_i,h3_fixed_u_g,best_threshold_u_g,T50_u_g,T75_u_g,T100_u_g,h3_fixed_vs_best_T,T50__vs_best_T,T50__vs_h3_fixed,T75__vs_best_T,T75__vs_h3_fixed,T100__vs_best_T,T100__vs_h3_fixed
nakagami,42,187,25.0,750,1.0,1.0,750,40729.08521612679,235046.23518371582,414262273.34197646,441436472.3765093,434004965.82824713,,426918337.404047,0.9384414276232358,0.983165173216762,1.0476574715022937,,,0.9671116097537145,1.0305508487653736
nakagami,42,188,50.0,500,1.0,1.0,500,27918.443728526312,3282943.137814522,193076848.42747843,282519441.5213195,282519441.5213195,273009290.26277167,264790789.01467267,0.6834108385171378,1.0,1.46324866923357,0.9663380643564305,1.4139928866992908,0.9372480265033053,1.371426927522751
nakagami,42,188,25.0,750,1.0,1.0,750,54228.868854934204,11215013.825774908,729486831.5498661,806343785.2522035,806343785.2522035,,753229601.4198921,0.9046846331452799,1.0,1.1053575614779054,,,0.9341296047619457,1.0325472220239837
nakagami,42,189,50.0,500,1.0,1.0,500,23054.36089134487,1949729.8621103168,131919937.24065378,191092564.10025695,179197698.92164722,187277891.04758975,186942986.6185514,0.6903457382645294,0.9377533854620891,1.3583822329656463,0.9800375641478869,1.4196329604519877,0.9782849871671173,1.4170942658767516
nakagami,42,189,25.0,750,1.0,1.0,750,42891.02288137293,6252690.322549701,456710515.8297432,516032785.2571397,485848273.20251775,,501492772.4530482,0.8850416657192893,0.9415066001289415,1.0637991821139428,,,0.9718234708733745,1.0980539205276354
nakagami,42,190,50.0,500,1.0,1.0,500,27573.629918817314,4999160.863745213,186734905.23474142,248916102.12725505,248696078.6671037,248916102.12725505,243481623.96163616,0.7501921476308337,0.999116073816555,1.331813558662061,1.0,1.3329918250385306,0.9781674302338199,1.3038891880206294
nakagami,42,190,25.0,750,1.0,1.0,750,50628.86363487286,1397371.3498630524,638927128.055692,700889783.8551412,699288010.7300808,,685301812.7648616,0.9115942945285452,0.9977146576224153,1.0944722489058683,,,0.9777597399058376,1.0725821187938782
nakagami,42,191,50.0,500,1.0,1.0,500,24455.19900100262,5033092.742806375,147016073.39928633,202539254.47076657,197323387.61406016,196457661.1805581,193824533.46203637,0.7258645924388244,0.97424762488469,1.3421892113669935,0.9699732612026264,1.3363005597829534,0.9569726815105462,1.3183900847060528
nakagami,42,191,25.0,750,1.0,1.0,750,45343.02546245788,19747558.76593721,504039005.1469008,560475089.0548495,547084500.1966352,,537250623.2404374,0.8993067042406486,0.9761085030901279,1.0854011189812363,,,0.9585628937521979,1.0658909682671427
nakagami,42,192,50.0,500,1.0,1.0,500,22496.713258194897,1617835.3415029645,125634361.02154079,185041888.8692056,175878744.20658907,179787399.32972556,185041888.8692056,0.6789509218117837,0.9504807007828732,1.3999254883497483,0.9716037834914553,1.4310368426906703,1.0,1.4728605085791697
nakagami,42,192,25.0,750,1.0,1.0,750,44354.79419107629,4153038.082025528,489694867.3726767,514724642.4460008,493293590.1180428,,514724642.4460008,0.9513724950987751,0.9583640444605169,1.0073489084430762,,,1.0,1.0511130026900517
nakagami,42,193,50.0,500,1.0,1.0,500,26213.54529740515,5280178.987330556,169046003.19680765,212970560.04987052,212970560.04987052,202298886.1173044,201742750.21579403,0.7937529166342183,1.0,1.2598378904109597,0.9498913186401577,1.196709074995301,0.9472799910398539,1.1934192255401626
nakagami,42,193,25.0,750,1.0,1.0,750,47538.94854555982,24678194.123533964,552694110.2557278,602533994.5898234,602533994.5898234,,568668991.5329232,0.9172828673873841,1.0,1.0901762537527946,,,0.9437956972370433,1.0289036575218866
nakagami,42,194,50.0,500,1.0,1.0,500,26962.488871172616,791786.9602547884,181308271.25336805,265658845.51762596,263359065.8157274,264546794.17014357,260974870.34441528,0.6824853541017839,0.9913431088755298,1.452548546159254,0.9958139871257982,1.4590994240988289,0.9823684576958688,1.439398591913756
nakagami,42,194,25.0,750,1.0,1.0,750,51416.810037336225,1264849.4501276016,660211104.2141804,733076339.318287,728112613.1467292,,715557202.2082266,0.900603482617013,0.9932289095891791,1.1028481776497367,,,0.976101892571854,1.0838309105084232
nakagami,42,195,50.0,500,1.0,1.0,500,24895.354407454946,1650826.0443036556,153971491.98109496,213509498.349827,205613166.3719421,212024528.98587835,213509498.349827,0.7211458655053307,0.9630164838617762,1.3353976357986312,0.9930449494030679,1.3770375688241776,1.0,1.386682012382151
nakagami,42,195,25.0,750,1.0,1.0,750,48087.81207088314,1807639.4750876427,577153063.0987868,612766907.6500096,593056267.2334569,,611382847.8532027,0.9418802743643524,0.9678333797558618,1.0275545694053572,,,0.9977412948063483,1.0593079842124256
nakagami,42,196,50.0,500,1.0,1.0,500,24535.009420449533,9211813.022852361,145879721.5406203,203711955.9124267,199535873.2356032,203711955.9124267,197016564.8455858,0.7161078047050523,0.9795000609654019,1.3678109001602552,1.0,1.3964377897150222,0.9671330480488873,1.3505411359777404
nakagami,42,196,25.0,750,1.0,1.0,750,46317.130372759086,20316818.24825096,525844861.6831639,571874887.5048721,561688176.6986024,571874887.5048721,549347011.5753664,0.919510321527598,0.9821871688566096,1.0681632885043482,1.0,1.0875353724563779,0.960606985161044,1.044694075391314
nakagami,42,197,50.0,500,1.0,1.0,500,24781.793767894458,5740271.767950416,150687573.45097363,222869453.0102705,216463895.74360585,222869453.0102705,209651826.41053215,0.6761248408682974,0.9712587024370295,1.4365079401456593,1.0,1.479016802157089,0.940693413021796,1.3913013635377347
nakagami,42,197,25.0,750,1.0,1.0,750,46470.273304626506,14930952.631803274,532135729.321565,584616168.4231336,578171100.1858339,,560132677.567997,0.9102309482080825,0.9889755559537743,1.0865105805298223,,,0.9581204007388725,1.0526124195459043
nakagami,42,198,50.0,500,1.0,1.0,500,26497.0650062488,533687.1697918177,175242724.5026197,234779976.0076439,234166916.4537264,234779976.0076439,226192585.76373023,0.7464125667042159,0.9973887911382292,1.33624329979089,1.0,1.33974164504692,0.963423668449331,1.2907388104454451
nakagami,42,198,25.0,750,1.0,1.0,750,49083.89718665853,3254815.3149003983,600548484.584116,653602366.7395695,653602366.7395695,,626102570.2157897,0.9188285036051697,1.0,1.0883423795369225,,,0.9579258002675849,1.042551244883034
nakagami,42,199,50.0,500,1.0,1.0,500,22350.992151855255,3673647.566823691,123073290.26995036,183202593.012376,177930145.84062865,183202593.012376,176936701.21397766,0.6717879274865739,0.9712206738722787,1.445725107782157,1.0,1.4885650055388733,0.9657980179463123,1.4376531319336852
nakagami,42,199,25.0,750,1.0,1.0,750,42730.07713634955,11542727.852114916,450322828.03496087,496653359.6424435,476446050.663447,,475413123.42334414,0.906714551088837,0.9593130528835155,1.058009989727765,,,0.9572332778854232,1.0557162413859138
rayleigh,10,0,50.0,500,1.0,1.0,500,11083.769251157873,57635.91477487981,30623227.708955783,54454260.32732222,53305242.0926792,53434421.49213183,48991011.395546734,0.562366057768132,0.9788993877111484,1.7406800680612138,0.9812716428602614,1.7448984150192925,0.8996726996393646,1.5997990760856107
rayleigh,10,0,25.0,750,1.0,1.0,750,20085.006742098165,170047.09864616394,100713473.10561928,121505900.97882664,119897468.34402066,,108225515.84909628,0.8288772174379366,0.9867625142330638,1.190480922232549,,,0.8907017270540254,1.0745882602578807
rayleigh,10,1,50.0,500,1.0,1.0,500,12016.137057940854,379367.15054896474,35877534.09731689,63189355.64752435,63185446.25538562,62072448.23999923,59410487.17752015,0.567778128605154,0.9999381321094564,1.761142393008302,0.9823244374613451,1.7301202493914243,0.9401977052736057,1.6559244851212662
rayleigh,10,1,25.0,750,1.0,1.0,750,21833.522803618347,2093828.594225943,118149466.57972366,137331253.27122375,137331253.27122375,,128747988.23668316,0.8603246804016502,1.0,1.1623518687539467,,,0.9374995506842934,1.0897043546938736
rayleigh,10,2,50.0,500,1.0,1.0,500,13816.924740097544,264500.6468015909,47462415.15151327,82496676.81162328,82213075.4554904,82496676.81162328,80494028.96555345,0.5753251765509433,0.9965622693289758,1.732172187046178,1.0,1.7381474699142652,0.9757245028106676,1.695953075893716
rayleigh,10,2,25.0,750,1.0,1.0,750,25847.099182799757,454504.95380306244,166783008.7081699,183865612.09344405,183865612.09344405,,178258886.99125418,0.9070919070141705,1.0,1.102424122922285,,,0.9695063963383189,1.0688072386508167
rayleigh,10,3,50.0,500,1.0,1.0,500,14869.606207714754,252105.46465326846,55148310.42277657,86781555.12849794,86608967.66441797,86521949.85271789,85062757.05343598,0.635484237878869,0.9980112425523554,1.5704736373690962,0.9970085201239405,1.5688957501948024,0.9801939701067015,1.542436321282194
rayleigh,10,3,25.0,750,1.0,1.0,750,26511.668057706043,904166.9851943254,175271235.04997316,195310832.6277664,194875034.8653585,,187163505.78236896,0.8973963844801903,0.9977686964079536,1.1118483578311975,,,0.9582853304356904,1.0678506700144212
rayleigh,10,4,50.0,500,1.0,1.0,500,14765.758337707419,1950432.0017807484,53493540.55209101,99903015.23703176,98709192.21102963,90137228.81451614,84920589.10963152,0.535454715007062,0.9880501802356051,1.8452544212306992,0.9022473305801119,1.6850114590329313,0.8500302909591603,1.5874924006373712
rayleigh,10,4,25.0,750,1.0,1.0,750,26784.266159895655,6040775.528570533,176296031.76035845,223453055.00912407,217767970.33044016,,185481013.5562358,0.788962280033092,0.9745580355638827,1.2352403406700332,,,0.8300670292856913,1.0520997648339732
rayleigh,10,5,50.0,500,1.0,1.0,500,14082.739860233263,861400.7530449331,48915727.970879555,85939911.62912244,83246812.68619059,76723394.8392148,73509632.23689741,0.5691852253930348,0.9686630007888065,1.701841435044143,0.8927562687092124,1.5684811004936832,0.8553608078413152,1.5027811153226436
rayleigh,10,5,25.0,750,1.0,1.0,750,25751.9290701261,498897.0426840782,165546717.19752237,193862941.2352307,187848423.25779557,,164803375.58150294,0.8539368903758155,0.9689754114989042,1.1347154835674806,,,0.850102523625352,0.995509777369173
rayleigh,10,6,50.0,500,1.0,1.0,500,17364.735271579113,359325.3029554486,74833580.17835902,133432337.82993448,132764085.96649814,131558878.80589348,123697476.1049954,0.5608354121302872,0.994991829759529,1.7741244725972891,0.9859594828771657,1.7580193075399424,0.9270427103109997,1.6529675021584394
rayleigh,10,6,25.0,750,1.0,1.0,750,31885.665426498177,505514.7147908807,253801917.68524843,300354333.4556872,294464408.60344094,,272574072.487988,0.8450083431963971,0.9803900786631559,1.160213489673549,,,0.9075083730336863,1.0739638020624407
rayleigh,10,7,50.0,500,1.0,1.0,500,10483.341722890305,80920.17893632501,27432435.775708705,48884268.55991651,46530665.9852076,44630002.14660352,44173872.63597944,0.5611710389424216,0.9518535789929199,1.6961915582578448,0.9129726896067061,1.626906283915305,0.9036418859747563,1.6102789047662767
rayleigh,10,7,25.0,750,1.0,1.0,750,19083.048105486792,331950.89808416367,90853777.90926702,110618188.55800112,105215238.14761016,,98868802.7294106,0.8213276595252607,0.9511567629083169,1.1580722405697372,,,0.8937843226168011,1.0882189492235308
rayleigh,10,8,50.0,500,1.0,1.0,500,13215.625104573443,880733.1778086126,43194811.77061821,74324797.46323138,71564328.34848775,74324797.46323138,71334022.76304331,0.581162858761731,0.9628593792521366,1.6567806506143161,1.0,1.7206880737882573,0.9597607420098573,1.6514488624665298
rayleigh,10,8,25.0,750,1.0,1.0,750,24481.09849343567,875099.0109580755,149398261.2928211,163069528.73471704,158388618.31451136,,156796449.20703444,0.9161629548575169,0.9712950024659688,1.0601771194918335,,,0.9615312586210529,1.0495199063910983
rayleigh,10,9,50.0,500,1.0,1.0,500,11343.273744476333,92541.50454506278,32132509.577263825,59786302.42174128,55784451.52463972,59017125.62385991,54871205.03958922,0.5374560438709929,0.9330640843303551,1.7360751543698731,0.9871345648296581,1.8366796244766075,0.9177889050993613,1.7076538920076985
