data_profile,N,L,K,active_pct,seed_rule,max_swaps,cases,seed_T_mean,seed_T_p50,u_g_mean,u_g_p05,u_g_p50,u_g_p95,fraction_exact_mean,fraction_exact_p05,fraction_exact_p50,fraction_exact_p95,gap_to_exact_pct_mean,exact_rate,near_99_rate,swaps_applied_mean,add_candidate_count_mean,evaluated_swap_count_mean,elapsed_seconds_mean,elapsed_seconds_p95
gaussian,8,2,4,45.0,T_0,1,100,0.0,0.0,9.83795892208005,4.511038549387773,9.232939135958322,16.73133814123962,1.0,0.9999999999999999,1.0,1.0000000000000002,-9.992007221626409e-16,1.0,1.0,0.12,4.0,16.0,0.0005533129151444882,0.0006877710693515837
gaussian,8,2,4,45.0,T_0,2,100,0.0,0.0,9.83795892208005,4.511038549387773,9.232939135958322,16.73133814123962,1.0,0.9999999999999999,1.0,1.0000000000000002,-9.992007221626409e-16,1.0,1.0,0.12,4.0,17.44,0.0006014116341248154,0.0009360347816254943
gaussian,8,2,4,45.0,T_0p025N,0,100,0.0,0.0,9.807390436306354,4.511038549387773,9.232939135958322,16.698248796099207,0.9968791344575573,0.9810791727720185,1.0,1.0000000000000002,0.3120865542442762,0.88,0.93,0.0,4.0,0.0,0.00011882957885973156,0.00017437874339520929
gaussian,8,2,4,45.0,T_0p025N,1,100,0.0,0.0,9.83795892208005,4.511038549387773,9.232939135958322,16.73133814123962,1.0,0.9999999999999999,1.0,1.0000000000000002,-9.992007221626409e-16,1.0,1.0,0.12,4.0,16.0,0.0005610563128720969,0.0006761078198906034
gaussian,8,2,4,45.0,T_0p025N,2,100,0.0,0.0,9.83795892208005,4.511038549387773,9.232939135958322,16.73133814123962,1.0,0.9999999999999999,1.0,1.0000000000000002,-9.992007221626409e-16,1.0,1.0,0.12,4.0,17.44,0.0006165264744777232,0.00095643728855066
gaussian,8,2,4,45.0,T_0p05N,0,100,0.0,0.0,9.807390436306354,4.511038549387773,9.232939135958322,16.698248796099207,0.9968791344575573,0.9810791727720185,1.0,1.0000000000000002,0.3120865542442762,0.88,0.93,0.0,4.0,0.0,0.00012239059782586992,0.00019912905991077421
gaussian,8,2,4,45.0,T_0p05N,1,100,0.0,0.0,9.83795892208005,4.511038549387773,9.232939135958322,16.73133814123962,1.0,0.9999999999999999,1.0,1.0000000000000002,-9.992007221626409e-16,1.0,1.0,0.12,4.0,16.0,0.0005647919874172658,0.0007973833475261926
gaussian,8,2,4,45.0,T_0p05N,2,100,0.0,0.0,9.83795892208005,4.511038549387773,9.232939135958322,16.73133814123962,1.0,0.9999999999999999,1.0,1.0000000000000002,-9.992007221626409e-16,1.0,1.0,0.12,4.0,17.44,0.000609426770824939,0.0008731636917218565
gaussian,8,2,4,45.0,best_tested_T,0,100,0.02,0.0,9.814853048610857,4.511038549387773,9.232939135958322,16.698248796099207,0.9980228418559477,0.9841627049943069,1.0,1.0000000000000002,0.1977158144052331,0.9,0.94,0.0,4.0,0.0,0.0001504167472012341,0.0002784605079796165
gaussian,8,2,4,45.0,best_tested_T,1,100,0.02,0.0,9.83795892208005,4.511038549387773,9.232939135958322,16.73133814123962,1.0,0.9999999999999999,1.0,1.0000000000000002,-9.992007221626409e-16,1.0,1.0,0.1,4.0,16.0,0.000562955237692222,0.0007132053084205835
gaussian,8,2,4,45.0,best_tested_T,2,100,0.02,0.0,9.83795892208005,4.511038549387773,9.232939135958322,16.73133814123962,1.0,0.9999999999999999,1.0,1.0000000000000002,-9.992007221626409e-16,1.0,1.0,0.1,4.0,17.2,0.0006048092420678586,0.0009042968798894435
gaussian,8,2,4,50.0,T_0,0,100,0.0,0.0,9.807390436306354,4.511038549387773,9.232939135958322,16.698248796099207,0.9968791344575573,0.9810791727720185,1.0,1.0000000000000002,0.3120865542442762,0.88,0.93,0.0,4.0,0.0,0.00012905648327432573,0.00021137896692380304
gaussian,8,2,4,50.0,T_0,1,100,0.0,0.0,9.83795892208005,4.511038549387773,9.232939135958322,16.73133814123962,1.0,0.9999999999999999,1.0,1.0000000000000002,-9.992007221626409e-16,1.0,1.0,0.12,4.0,16.0,0.0005560567229986191,0.0007164077833294868
gaussian,8,2,4,50.0,T_0,2,100,0.0,0.0,9.83795892208005,4.511038549387773,9.232939135958322,16.73133814123962,1.0,0.9999999999999999,1.0,1.0000000000000002,-9.992007221626409e-16,1.0,1.0,0.12,4.0,17.44,0.0006030730390921235,0.0008510704443324357
gaussian,8,2,4,50.0,T_0p025N,0,100,0.0,0.0,9.807390436306354,4.511038549387773,9.232939135958322,16.698248796099207,0.9968791344575573,0.9810791727720185,1.0,1.0000000000000002,0.3120865542442762,0.88,0.93,0.0,4.0,0.0,0.0001236867648549378,0.00020388889242894948
gaussian,8,2,4,50.0,T_0p025N,1,100,0.0,0.0,9.83795892208005,4.511038549387773,9.232939135958322,16.73133814123962,1.0,0.9999999999999999,1.0,1.0000000000000002,-9.992007221626409e-16,1.0,1.0,0.12,4.0,16.0,0.0005577439896296709,0.0007091690960805862
