data_profile,generator_seed,sample,N,L,K,off_pct,active_pct,sigma,P,formula,formula_family,formula_label,formula_T,rule_note,u_bf,u_i,u_g,u_g_db,exact_completed,exact_u_g,fraction_exact_u_g,gap_to_exact_pct,is_exact_best
gaussian,42,74,24,2,12,50.0,50.0,1.0,1.0,strong_weak,heuristic,strong/weak H3,6,,9.990376945289647,28.843727204099206,21.322772268342533,13.288436685802697,True,60.94763234504479,0.34985398854589195,65.0146011454108,False
gaussian,42,75,24,2,6,75.0,25.0,1.0,1.0,best_tested_T,best_tested,best tested T per sample,0,,9.84739023780062,10.068806429388076,29.6051506211924,14.713672749699974,True,29.6051506211924,1.0,0.0,True
gaussian,42,75,24,2,6,75.0,25.0,1.0,1.0,T_0p025N,N,T_0p025N,1,,7.664599972224513,0.6715272316537915,21.417034584154795,13.307593379760792,True,29.6051506211924,0.7234225847452279,27.65774152547721,False
gaussian,42,75,24,2,6,75.0,25.0,1.0,1.0,T_0p05N,N,T_0p05N,1,,7.664599972224513,0.6715272316537915,21.417034584154795,13.307593379760792,True,29.6051506211924,0.7234225847452279,27.65774152547721,False
gaussian,42,75,24,2,6,75.0,25.0,1.0,1.0,T_0p075N,N,T_0p075N,2,,7.314811533891799,6.573772613188114,16.11399509819877,12.07203227197719,True,29.6051506211924,0.5442970145425915,45.57029854574085,False
gaussian,42,75,24,2,6,75.0,25.0,1.0,1.0,T_0p10N,N,T_0p10N,2,,7.314811533891799,6.573772613188114,16.11399509819877,12.07203227197719,True,29.6051506211924,0.5442970145425915,45.57029854574085,False
gaussian,42,75,24,2,6,75.0,25.0,1.0,1.0,T_0p10K,K,T_0p10K,1,,7.664599972224513,0.6715272316537915,21.417034584154795,13.307593379760792,True,29.6051506211924,0.7234225847452279,27.65774152547721,False
gaussian,42,75,24,2,6,75.0,25.0,1.0,1.0,T_0p20K,K,T_0p20K,1,,7.664599972224513,0.6715272316537915,21.417034584154795,13.307593379760792,True,29.6051506211924,0.7234225847452279,27.65774152547721,False
gaussian,42,75,24,2,6,75.0,25.0,1.0,1.0,legacy_T25,legacy,legacy_T25,6,,7.764739179929609,13.766215906323147,14.583196218951931,11.638527193267263,True,29.6051506211924,0.4925898336255304,50.74101663744697,False
gaussian,42,75,24,2,6,75.0,25.0,1.0,1.0,legacy_T50,legacy,legacy_T50,6,,7.764739179929609,13.766215906323147,14.583196218951931,11.638527193267263,True,29.6051506211924,0.4925898336255304,50.74101663744697,False
gaussian,42,75,24,2,6,75.0,25.0,1.0,1.0,legacy_T100,legacy,legacy_T100,6,,7.764739179929609,13.766215906323147,14.583196218951931,11.638527193267263,True,29.6051506211924,0.4925898336255304,50.74101663744697,False
gaussian,42,75,24,2,6,75.0,25.0,1.0,1.0,T_0p05K,K,T_0p05K,0,,9.84739023780062,10.068806429388076,29.6051506211924,14.713672749699974,True,29.6051506211924,1.0,0.0,True
gaussian,42,75,24,2,6,75.0,25.0,1.0,1.0,T_0p15K,K,T_0p15K,1,,7.664599972224513,0.6715272316537915,21.417034584154795,13.307593379760792,True,29.6051506211924,0.7234225847452279,27.65774152547721,False
gaussian,42,75,24,2,6,75.0,25.0,1.0,1.0,T_0p05NL_over_Lp2,N_L,T_0p05NL_over_Lp2,1,,7.664599972224513,0.6715272316537915,21.417034584154795,13.307593379760792,True,29.6051506211924,0.7234225847452279,27.65774152547721,False
gaussian,42,75,24,2,6,75.0,25.0,1.0,1.0,T_0p075NL_over_Lp2,N_L,T_0p075NL_over_Lp2,1,,7.664599972224513,0.6715272316537915,21.417034584154795,13.307593379760792,True,29.6051506211924,0.7234225847452279,27.65774152547721,False
gaussian,42,75,24,2,6,75.0,25.0,1.0,1.0,T_0p10NL_over_Lp2,N_L,T_0p10NL_over_Lp2,1,,7.664599972224513,0.6715272316537915,21.417034584154795,13.307593379760792,True,29.6051506211924,0.7234225847452279,27.65774152547721,False
gaussian,42,75,24,2,6,75.0,25.0,1.0,1.0,T_0p125NL_over_Lp2,N_L,T_0p125NL_over_Lp2,2,,7.314811533891799,6.573772613188114,16.11399509819877,12.07203227197719,True,29.6051506211924,0.5442970145425915,45.57029854574085,False
gaussian,42,75,24,2,6,75.0,25.0,1.0,1.0,T_0p15NL_over_Lp2,N_L,T_0p15NL_over_Lp2,2,,7.314811533891799,6.573772613188114,16.11399509819877,12.07203227197719,True,29.6051506211924,0.5442970145425915,45.57029854574085,False
