K,sigma,heuristic,K_label,K_mode,K_value,active_pct,off_pct,active_count_mean,active_count_std,u_bf_mean,u_bf_std,u_i_mean,u_i_std,u_g_mean,u_g_std,log10_u_g_mean,log10_u_g_std,u_g_vs_best_case_mean,u_bf_vs_best_case_mean,u_i_vs_best_case_mean,u_g_vs_best_h12_mean,log2_u_g_per_active_mean,min_channel_eig_mean,geom_channel_eig_mean,max_channel_eig_mean,condition_channel_eig_mean,sigma_over_geom_channel_eig_mean,elapsed_seconds_mean,elapsed_seconds_std,samples,selection_hashes
250,0.003,H1,K<=250 (25% active),active_pct,25.0,25.0,75.0,250.0,0.0,3880.1913135877644,733.7230706239754,152193.64486767334,85854.7597611144,993611743526.8439,793489934387.1147,11.8796751479616,0.32887026811500264,0.30359897573220185,0.7355167019532723,0.0001061034637586277,0.9634011871525182,0.15785370652859526,716.926758660192,949.3598819942607,1231.8681974212807,1.735017781587885,3.271205801633908e-06,0.005513127733348103,5.164761645821495e-05,30,30
250,0.003,H2,K<=250 (25% active),active_pct,25.0,25.0,75.0,250.0,0.0,3486.6166175033295,634.7798506206374,208.60621874437203,85.30219860083348,684430349406.4174,523899696730.9099,11.727710722065739,0.3148936593268704,0.21647414498208842,0.662323330149888,0.06588002691910431,0.6924255483015676,0.15583444694536772,787.261158177514,868.5612899431052,963.7987150346038,1.226198061971126,3.56530830411683e-06,0.06733269306667304,0.0005206088691566556,30,30
250,0.003,H3-Fast,K<=250 (25% active),active_pct,25.0,25.0,75.0,250.0,0.0,1594.8368470435423,266.3632317016296,12.176549827492757,4.303598995660407,28650395861.50365,16522724034.4882,10.368125377674694,0.3173292720973629,0.009936440348054076,0.3044392764849662,1.0,0.03495827483080203,0.1377686679336488,352.40739558579605,396.82977981119683,445.21680275830215,1.2753848790123352,7.80854803266229e-06,0.30457784453335074,0.005962972638319792,30,30
250,0.003,H3-threshold-BF,K<=250 (25% active),active_pct,25.0,25.0,75.0,250.0,0.0,5232.245253091185,522.4931288401209,231135.03290104654,113976.7194986114,2872574997711.7188,1204109453805.1667,12.42411522828043,0.1738120159655483,0.9977309184275706,1.0,6.690796185880934e-05,3.523702293595966,0.16508806972377063,994.778117668013,1282.7465366410918,1661.9818459404885,1.6850703342104094,2.3614623839219303e-06,0.04710325419997892,0.00023838242991377096,30,30
250,0.003,H3-threshold-Gen,K<=250 (25% active),active_pct,25.0,25.0,75.0,250.0,0.0,5230.346914376297,523.7628180740321,216118.17550398616,100044.15921524946,2882028244135.8667,1223245594903.256,12.425113609708719,0.1745322733032268,1.0,0.9996120126257962,6.952207704006663e-05,3.5302440481394353,0.16510133592903484,1001.8713989727083,1283.541633558118,1650.010373290632,1.6594510722654867,2.3601902847490535e-06,0.5331319804999927,0.0026225679369819553,30,30
250,0.003,H3-threshold-Int,K<=250 (25% active),active_pct,25.0,25.0,75.0,250.0,0.0,3693.843271574291,705.2317539234651,179.84098532157174,71.2357712376808,871297022536.636,649689495862.8124,11.823918661534915,0.3374512841096646,0.27825822462475885,0.7017283247427425,0.07440199889567299,0.9121779801643775,0.1571128303736632,829.7441231734805,919.9219903225688,1023.3575494737586,1.2329244323697002,3.3821392376881356e-06,0.5205917070333813,0.0019173430618486399,30,30
250,0.003,MISO-EE,K<=250 (25% active),active_pct,25.0,25.0,75.0,223.63333333333333,14.923906610058474,3935.1980319593463,711.9926788638365,80231.65013947921,50492.085922521976,1079001766496.3864,839327388559.2545,11.925368967064335,0.3113761652000789,0.3334407693666178,0.7466018957073451,0.0002176077342903151,1.0598438343379095,0.17769218452764077,798.0502363686504,972.9851050683094,1174.583387841051,1.478665809563924,3.1804223333320662e-06,0.3807897180333258,0.0030551759631364046,30,30
250,0.003,Pareto-H2,K<=250 (25% active),active_pct,25.0,25.0,75.0,241.7,10.80596897632236,3620.882765873476,608.4897498542264,158.27044291878119,83.53813726436768,765218500345.8524,515990555887.5299,11.792165461473193,0.29695526629692887,0.248403848998165,0.6887006317263195,0.08949955409461574,0.8065531343797511,0.16229066136053755,781.3759273717435,899.6556989484908,1016.9612129049186,1.313318412919629,3.4300717299706848e-06,0.18759730696666901,0.0011697112105065312,30,30
250,0.01,Coutino,K<=250 (25% active),active_pct,25.0,25.0,75.0,250.0,0.0,4657.077442171898,577.7280371158982,102796.27701963083,55703.21046210285,1931861149707.3726,1062937082991.9167,12.233751568484797,0.21157206561499886,0.6664939135481288,0.8899658732958714,0.00015805085959329096,2.362988031219355,0.16255857216488792,952.6889321006857,1152.3531661072172,1381.4044650669166,1.4570657946141272,8.8032478158157e-06,0.2980757680333482,0.002310233096294716,30,30
250,0.01,H1,K<=250 (25% active),active_pct,25.0,25.0,75.0,250.0,0.0,3880.1913135877644,733.7230706239754,152193.64486767334,85854.7597611144,993638850983.5883,793505635383.2014,11.879688706679806,0.3288677115126847,0.3036012662004762,0.7355167019532723,0.0001061034637586277,0.9634015023245958,0.15785388669294298,716.926758660192,949.3598819942607,1231.8681974212807,1.735017781587885,1.0904019338779692e-05,0.005504593133352129,5.324439304714284e-05,30,30
