N,L,K,off_pct,sample,seed,sigma,P,heuristic,active_count,u_bf,u_i,u_g,log2_u_g_per_active,u_bf_per_active,elapsed_seconds
1000,2,750,25,0,42,1.0,1.0,H1,750,21860.382028940636,749307.8464226127,119112963.74164405,0.03577034026340915,29.147176038587514,0.027162599988514557
1000,2,750,25,0,42,1.0,1.0,H2,750,21134.776691418643,17.49799758195877,111681787.44211479,0.03564642492794192,28.179702255224857,0.10803450000821613
1000,2,750,25,0,42,1.0,1.0,Coutino,750,23443.03074354656,677128.0363263488,137055279.65496808,0.03604024355193643,31.257374324728744,0.27826290001394227
1000,2,750,25,0,42,1.0,1.0,MISO-EE,709,22412.26822606477,677442.7512218356,125252906.79211798,0.03794114082381318,31.611097639019423,0.40617159998510033
1000,2,750,25,0,42,1.0,1.0,Pareto-H2,750,21134.776691418643,17.49799758195877,111681787.44211479,0.03564642492794192,28.179702255224857,0.3332075999933295
1000,2,750,25,0,42,1.0,1.0,S-threshold-BF,750,30628.228932872647,164488.669582963,234467348.5368391,0.037073082385259956,40.83763857716353,0.01586080002016388
1000,2,750,25,0,42,1.0,1.0,S-threshold-Int,750,24403.84350127299,8.490100741386414,148797046.77887958,0.03619836086961763,32.53845800169732,0.19041300000390038
1000,2,750,25,0,42,1.0,1.0,S-threshold-Gen,750,30628.228932872647,164488.669582963,234467348.5368391,0.037073082385259956,40.83763857716353,0.21510929998476058
1000,2,750,25,0,42,1.0,1.0,Frame-BF,750,30663.74048820183,183933.53604513407,235004691.69782746,0.037077485758045835,40.884987317602445,0.02684199999202974
1000,2,750,25,0,42,1.0,1.0,Frame-Int,750,10596.97019115071,0.00987168401479721,28077920.639168322,0.03299057701658416,14.129293588200948,0.23613979999208823
1000,2,750,25,0,42,1.0,1.0,Frame-Gen,750,30662.181441214143,189906.11360871792,234977596.75000703,0.03707726396388971,40.882908588285524,0.045689099992159754
