N,L,K,off_pct,heuristic,active_count_mean,u_bf_mean,u_bf_std,u_i_mean,u_i_std,u_g_mean,u_g_std,log2_u_g_per_active_mean,log2_u_g_per_active_std,u_bf_per_active_mean,u_bf_per_active_std,elapsed_seconds_mean,elapsed_seconds_std,samples
1000,6,750,25,N-H3-Fast,750.0,11312.520295647668,1734.8312459375607,256.7510441476479,107.09516309271538,6.0230201432722326e+19,5.253908713849009e+19,0.08692122385611101,0.0017797310301281989,15.083360394196891,2.3131083279167473,0.8083843800006434,0.02666607094628574,10
1000,6,750,25,Pareto-H2,742.9,13785.875734662268,1354.688063189549,415.61962170749905,134.37405101819155,1.6686503027933816e+20,9.830651428824998e+19,0.09014905091774597,0.0018044359885715196,18.557904580238777,1.8073591823648396,0.6614088000002084,0.013760979214558726,10
1000,6,750,25,S-threshold-BF,750.0,21007.568555690134,1976.6215260166932,1907583.1737168513,515211.43259769556,1.9049914852731619e+21,9.940956008131873e+20,0.09399054676387136,0.001103941553630044,28.010091407586845,2.6354953680222573,0.04437589999579359,0.0009302039326889643,10
1000,6,750,25,S-threshold-Gen,750.0,21007.568555690134,1976.6215260166932,1907583.1737168513,515211.43259769556,1.9049914852731619e+21,9.940956008131873e+20,0.09399054676387136,0.001103941553630044,28.010091407586845,2.6354953680222573,0.4412865999969654,0.008859374739808995,10
1000,6,750,25,S-threshold-Int,750.0,13351.89754855479,2032.7950694567885,380.99232828393576,108.17068552595029,1.5836143697908066e+20,1.1591399122728773e+20,0.08882803232233566,0.001815358804214251,17.80253006473972,2.7103934259423843,0.39353960000735244,0.009395548560428398,10
1000,7,500,50,Coutino,500.0,10495.739234007473,1010.845272576833,494665.5609240502,133131.8863245911,1.8088301521733373e+22,1.2044726150969984e+22,0.14730582522283703,0.001969818822194283,20.991478468014943,2.0216905451536658,0.8563050399970962,0.010651708998298712,10
1000,7,500,50,Frame-BF,500.0,11733.099625773682,672.3417459717758,825655.844453159,189436.2691077176,3.3935938192352423e+22,1.3340521405465785e+22,0.14948712041753356,0.001160622121970676,23.466199251547366,1.3446834919435529,0.0344747599971015,0.0032520878397012086,10
1000,7,500,50,Frame-Gen,500.0,11734.015065872818,683.3604182461385,744596.7067885598,164315.28062154632,3.455890510722514e+22,1.3694887360825953e+22,0.14953427149145698,0.001179033829455089,23.468030131745635,1.3667208364922763,0.08090317999885883,0.008369028670109822,10
1000,7,500,50,Frame-Int,500.0,5359.841225824967,550.1505663781523,173.22629071627745,42.21862284335612,1.8270000510216497e+20,1.1500677176651153e+20,0.1340114273103689,0.002163805247096788,10.719682451649934,1.1003011327563041,1.7658988500013948,0.01910205372292101,10
1000,7,500,50,H1,500.0,8900.919432066732,933.8445163566465,495479.52951833105,119772.62795614975,5.563720539518391e+21,3.5448141161789816e+21,0.14383244527094302,0.0022111031450708753,17.801838864133465,1.8676890327132925,0.01958325000014156,0.002391429985848961,10
1000,7,500,50,H2,500.0,7818.9581723315905,940.4556516271293,746.4882030363194,177.40751188132822,2.661018278920585e+21,1.4798591650498281e+21,0.14160203469356286,0.002637944401168852,15.637916344663182,1.8809113032542588,0.21284938999742736,0.009093061998006354,10
1000,7,500,50,MISO-EE,448.9,8924.538516681732,940.0849482509436,372562.78146478755,85208.99100419297,5.892835790833271e+21,3.784630957362258e+21,0.16056874179085315,0.005604205084719543,19.873862321492833,1.8850070067907942,1.1020515900076133,0.012804695138599801,10
1000,7,500,50,N-H3-Fast,500.0,5571.030682814752,592.7796892147702,194.528499045223,36.49583266210595,2.397772810041178e+20,1.3422989740008276e+20,0.13478409370728434,0.0022956271967499277,11.142061365629505,1.1855593784295402,0.8450656500062905,0.015876347643390003,10
1000,7,500,50,Pareto-H2,492.7,7914.490876170234,788.7388024153591,701.4551018152385,176.52798343760867,2.742830004937338e+21,1.4110747943716195e+21,0.14406778429347064,0.003504299136505483,16.05294445149016,1.4231124188654907,0.7191833699995186,0.013246565312392584,10
1000,7,500,50,S-threshold-BF,500.0,11704.907980833803,679.6206252844532,815729.0379245192,205103.54404496442,3.3462849055854625e+22,1.3396371728807573e+22,0.14944293203097497,0.0011648513917021097,23.40981596166761,1.3592412505689073,0.09340780000202357,0.0021050007004859493,10
1000,7,500,50,S-threshold-Gen,500.0,11704.907980833803,679.6206252844532,815729.0379245192,205103.54404496442,3.3462849055854625e+22,1.3396371728807573e+22,0.14944293203097497,0.0011648513917021097,23.40981596166761,1.3592412505689073,0.9357734399964102,0.014702698297136252,10
1000,7,500,50,S-threshold-Int,500.0,7957.086196598922,1066.4140229131121,714.1569634201936,152.90175694397612,3.185612437645977e+21,2.2279195656164394e+21,0.1419199630056272,0.002905664932494481,15.914172393197845,2.1328280458262237,0.8865093999978854,0.010132714345567223,10
1000,7,750,25,Coutino,750.0,18419.341188480674,1805.5772211811334,1230373.0512117273,340956.95343125105,9.571438229144436e+23,6.706846130770571e+23,0.10581914150331521,0.0013245335569739647,24.5591215846409,2.4074362949081776,0.9336375800019596,0.0284792723191357,10
1000,7,750,25,Frame-BF,750.0,20711.84424970453,1189.2282099655265,1691517.7035951116,316882.63602613594,1.9179780178272402e+24,7.868418980058945e+23,0.10741497296272177,0.0007729296826601487,27.61579233293937,1.585637613287369,0.03884156999411061,0.004509020156151941,10
1000,7,750,25,Frame-Gen,750.0,20712.821433823457,1189.0986119787726,1634601.9620752693,298385.46207981266,1.925693750291811e+24,7.900919196750827e+23,0.1074221926857829,0.000775006805494098,27.617095245097943,1.5854648159716969,0.0755122599977767,0.008465902104150588,10
1000,7,750,25,Frame-Int,750.0,12162.596238643311,1708.0195873470702,419.71522280927746,90.63191077873208,6.7175945665997175e+22,6.137121118213255e+22,0.10033226780257853,0.0019006993081460413,16.216794984857746,2.2773594497960934,1.4946597100060899,0.09671625081295053,10
1000,7,750,25,H1,750.0,15516.293685045861,1627.394169340635,1005969.8777195119,262411.32909089624,2.8788860008838376e+23,1.927160694596585e+23,0.1034744576954498,0.0014534133309328243,20.68839158006115,2.169858892454181,0.028105720001622102,0.0012998038068702403,10
1000,7,750,25,H2,750.0,13582.311414520718,1623.920193609004,751.0869693160057,181.29063350660851,1.2716044404122185e+23,7.201973982483196e+22,0.10184190316211769,0.0017495126258244786,18.109748552694292,2.1652269248120066,0.27706002999912016,0.023503955720836845,10
1000,7,750,25,MISO-EE,662.2,15618.88757759672,1634.07777259592,918565.9418263056,231573.80508502937,3.040877966220729e+23,2.0309205523544307e+23,0.11749754862118611,0.004774893166688737,23.587896165712593,2.279189960118897,1.2605385300033958,0.040527908052665575,10
1000,7,750,25,N-H3-Fast,750.0,11737.155625745709,1386.4796393900945,489.5764382876456,157.62961902023397,4.562829120730956e+22,2.517076903884643e+22,0.09988068742774048,0.001707112035829118,15.649540834327613,1.8486395191867926,0.9035484599939082,0.030353613112480284,10
1000,7,750,25,Pareto-H2,738.4,14005.910432205663,1265.570652905227,663.7489741075784,161.5352638066159,1.4554851276486251e+23,7.097584799087217e+22,0.10394282936152224,0.0027367939192703044,18.985875256319446,1.8870527183593193,0.8656342400005087,0.0546463144968315,10
1000,7,750,25,S-threshold-BF,750.0,20653.18991763677,1190.5813025533403,1735332.3512132757,393573.1048285796,1.8764681632786554e+24,7.86613719403224e+23,0.1073713221106117,0.0007704931849390321,27.53758655684903,1.5874417367377855,0.06587258000217844,0.011716825159961421,10
1000,7,750,25,S-threshold-Gen,750.0,20650.033248735606,1191.3796314181377,1703628.9523325362,409958.1455978874,1.8777149142947455e+24,7.861691909772227e+23,0.10737279819270162,0.0007702020189089604,27.53337766498081,1.588506175224182,0.6100658399955137,0.12948868157024984,10
1000,7,750,25,S-threshold-Int,750.0,14110.755318560789,1761.9144185003174,655.4141744337976,134.30724860908043,1.6946573720235662e+23,1.1047438629360448e+23,0.10234430132692111,0.0018407329555667482,18.81434042474772,2.3492192246670904,0.5528776500024832,0.1112211083662477,10
1000,8,500,50,Coutino,500.0,9936.87125358509,547.9721923605372,451813.13109212666,82675.75445467573,5.24786116708577e+24,2.023643811660408e+24,0.16399944576056727,0.0013034060032144452,19.873742507170178,1.0959443847210752,1.0249948199983918,0.009145129533162901,10
1000,8,500,50,Frame-BF,500.0,11267.254192288754,607.3234637443298,804944.6853359251,195863.06961040528,1.3426871809002676e+25,5.116520165459895e+24,0.16671858956236213,0.001272854309412215,22.53450838457751,1.21464692748866,0.035004970006411895,0.002898060671932517,10
1000,8,500,50,Frame-Gen,500.0,11263.861534212067,608.394444678528,760999.1203444295,196628.6948361422,1.3561996050766937e+25,5.159505741414299e+24,0.16674808325641632,0.0012718214865466665,22.52772306842413,1.216788889357055,0.09071317999914755,0.005881122409358746,10
1000,8,500,50,Frame-Int,500.0,5524.43171609443,588.5736724361757,323.63568268632514,57.90751115629851,6.470238542619357e+22,3.9987597964601624e+22,0.15076676106520134,0.0025413766808762162,11.048863432188861,1.1771473448723508,2.074384729997837,0.030086597097802904,10
1000,8,500,50,H1,500.0,8795.643975402445,989.2582372271393,496984.7318809619,155118.15896881843,2.2982686606136807e+24,1.8559242788280814e+24,0.16091189731821845,0.0025759852111042762,17.59128795080489,1.9785164744542774,0.019032100000185893,0.0008009020578263236,10
